Time,CAN2_TCM_C03_InShaftSpd_Cval_PT_t6
0.041747162,594.4
0.05153727,594.08
0.061568399,602.88
0.071527901,594.08
0.081544655,598.88
0.091742178,606.5600000000001
0.101558287,598.4
0.111561915,594.72
0.121563918,593.28
0.131564796,600.96
0.141747429,588.48
0.151528411,603.6800000000001
0.161573915,603.6800000000001
0.171528292,598.88
0.181538795,592.48
0.19174232,593.6
0.201549177,591.36
0.211571681,585.6
0.221579684,610.5600000000001
0.231553812,605.6
0.241748336,595.6800000000001
0.251538318,589.6
0.261584447,598.88
0.27156295,595.6800000000001
0.281544952,601.6
0.291774586,610.24
0.301566209,598.08
0.311580463,592.48
0.321596591,592.0
0.331583078,602.88
0.341754477,589.6
0.351549584,596.96
0.361590213,606.88
0.371579341,597.28
0.381574594,593.6
0.391757492,597.6
0.40157435,594.72
0.411574478,586.08
0.421583232,612.48
0.431574594,603.6800000000001
0.441750367,596.96
0.451559975,594.72
0.46160923,599.36
0.471554732,592.8000000000001
0.481559235,600.96
0.491790134,608.96
0.501589117,599.36
0.51160162,592.48
0.521587998,594.08
0.531606127,604.0
0.541757884,591.6800000000001
0.551585883,597.6
0.561614262,607.6800000000001
0.571582389,598.88
0.581594267,595.6800000000001
0.591774525,596.48
0.601599399,599.36
0.611606136,589.6
0.621616515,611.36
0.631604768,605.6
0.641758791,596.96
0.651572023,595.6800000000001
0.661633279,598.4
0.671689785,593.28
0.68167204,604.0
0.691900192,611.36
0.701590298,600.0
0.711689931,595.6800000000001
0.721618043,594.08
0.731692941,603.36
0.741766948,590.72
0.751702326,602.88
0.761626314,608.48
0.771577192,600.0
0.781616199,597.28
0.791761973,598.08
0.801602083,598.88
0.811620464,592.0
0.821609219,611.36
0.831608849,606.5600000000001
0.841767608,596.48
0.851587609,596.0
0.861640615,601.28
0.871603494,596.48
0.88162275,601.6
0.891759133,610.24
0.901609745,599.36
0.911620125,596.0
0.921637006,596.96
0.931629386,602.88
0.941770284,592.0
0.951597645,603.6800000000001
0.961679902,611.6800000000001
0.97160253,600.96
0.981614911,594.72
0.99176217,595.36
1.001632922,593.6
1.011622035,586.72
1.021631416,616.48
1.031611545,605.6
1.041771696,597.6
1.05160218,595.6800000000001
1.061688688,598.08
1.071609816,594.4
1.081633821,602.5600000000001
1.09177058,604.48
1.101657457,598.4
1.111657837,590.4
1.121647967,587.2
1.131632597,600.48
1.141789356,587.6800000000001
1.151609232,597.28
1.161650488,608.48
1.171626852,600.96
1.18171675,593.6
1.191907635,594.72
1.20171626,594.4
1.211639373,584.0
1.221726255,611.6800000000001
1.231656884,603.6800000000001
1.241932411,595.6800000000001
1.251632268,592.8000000000001
1.261740651,599.36
1.271619528,595.36
1.281652034,601.6
1.291785418,610.88
1.301643778,602.08
1.311647283,594.4
1.321672539,594.08
1.331656044,604.48
1.341782818,596.0
1.351630053,600.48
1.36167706,608.96
1.371622564,600.0
1.38166257,595.6800000000001
1.391783828,593.6
1.401653705,600.48
1.41164346,588.8000000000001
1.42165659,613.28
1.431883476,606.88
1.441780353,600.0
1.451635089,596.0
1.461681611,599.6800000000001
1.471670725,594.72
1.48166998,602.08
1.491781004,614.24
1.50167049,603.6800000000001
1.51167087,598.08
1.521669,593.6
1.531661505,602.5600000000001
1.541785264,594.72
1.551680641,602.88
1.561707647,610.5600000000001
1.571655386,600.0
1.581680391,596.0
1.591791914,594.4
1.601682277,598.08
1.611678532,586.4
1.621694912,613.28
1.631684917,604.48
1.6417923,598.88
1.651658052,594.72
1.661712433,598.4
1.671650313,593.6
1.681678819,600.96
1.691955347,612.48
1.701741457,602.88
1.711749838,594.4
1.721695467,593.6
1.73175135,603.36
1.741789356,594.72
1.751751736,603.36
1.761697849,610.24
1.771757873,599.6800000000001
1.78167761,595.36
1.79178976,591.6800000000001
1.801697997,597.6
1.811734879,586.72
1.82173101,610.88
1.831691389,604.96
1.841795898,598.88
1.851668775,594.08
1.861740033,599.6800000000001
1.871690146,594.72
1.881683652,599.6800000000001
1.891792426,610.5600000000001
1.901715039,604.0
1.911697544,597.28
1.921717176,592.8000000000001
1.931697306,599.6800000000001
1.941800564,593.28
1.951667192,600.96
1.961767575,605.28
1.971693329,597.6
1.981708835,592.0
1.991816218,593.28
2.001710596,598.08
2.011703352,586.4
2.021693357,610.88
2.031702238,605.28
2.041799622,598.88
2.05169936,594.08
2.061724491,600.48
2.071696621,593.6
2.081695127,589.6
2.091816151,611.6800000000001
2.101725639,601.28
2.11172502,596.48
2.121730026,594.72
2.131729406,606.88
2.141799414,594.72
2.151692651,598.88
2.161754924,612.48
2.171705788,600.96
2.181729794,597.6
2.191822443,594.08
2.201783807,599.36
2.211770687,588.0
2.221791819,612.48
2.231718322,608.96
2.241996476,598.08
2.251703959,594.72
2.261791592,597.6
2.271746971,594.72
2.281808228,591.36
2.291903737,611.36
2.301741738,602.5600000000001
2.311739369,592.0
2.321714109,590.72
2.331745881,596.96
2.341809513,592.0
2.351727502,600.96
2.361753133,605.6
2.371759014,599.36
2.381738894,596.48
2.391816777,595.6800000000001
2.401759656,598.08
2.411777912,589.12
2.421772543,612.16
2.431747048,607.36
2.441930558,598.88
2.451716293,594.4
2.461779066,601.6
2.471723054,594.08
2.481751186,592.48
2.491824443,615.36
2.501752822,605.6
2.511741203,596.0
2.521771834,592.0
2.531762965,597.6
2.541928475,592.8000000000001
2.551957497,601.6
2.561996379,606.5600000000001
2.571739737,598.4
2.581740743,594.08
2.591822126,594.08
