Time,CAN2_TCM_C11_GrShift_Stat_PT_t1
0.036800584,0.0
0.046728227,0.0
0.056776824,0.0
0.066771859,0.0
0.076782112,0.0
0.087139765,0.0
0.097118392,0.0
0.106753105,0.0
0.116789593,0.0
0.126738845,0.0
0.136822069,0.0
0.146743368,0.0
0.157069754,0.0
0.16679225,0.0
0.176797831,0.0
0.187141296,0.0
0.197120034,0.0
0.206758981,0.0
0.216810094,0.0
0.226741377,0.0
0.236835226,0.0
0.246729508,0.0
0.256797388,0.0
0.266935535,0.0
0.276792473,0.0
0.286805647,0.0
0.296810089,0.0
0.306764778,0.0
0.316808157,0.0
0.326743519,0.0
0.336828289,0.0
0.34674504,0.0
0.356810295,0.0
0.36690255,0.0
0.376811645,0.0
0.387125203,0.0
0.397118706,0.0
0.407134335,0.0
0.416830689,0.0
0.426777129,0.0
0.437047826,0.0
0.446766182,0.0
0.456819171,0.0
0.466907332,0.0
0.476821068,0.0
0.487127469,0.0
0.497122847,0.0
0.506785639,0.0
0.516827831,0.0
0.526761769,0.0
0.537063108,0.0
0.546773323,0.0
0.556822702,0.0
0.566780329,0.0
0.576824834,0.0
0.586831962,0.0
0.59717474,0.0
0.607193509,0.0
0.617195887,0.0
0.626782723,0.0
0.63787727,0.0
0.646782105,0.0
0.656835734,0.0
0.666977868,0.0
0.677138268,0.0
0.687156102,0.0
0.697156404,0.0
0.70719516,0.0
0.717057521,0.0
0.726782613,0.0
0.737067281,0.0
0.746806765,0.0
0.757140403,0.0
0.767148048,0.0
0.777075177,0.0
0.787856077,0.0
0.797134188,0.0
0.80720557,0.0
0.817141699,0.0
0.826787164,0.0
0.837057332,0.0
0.846783174,0.0
0.857051561,0.0
0.866920704,0.0
0.877058087,0.0
0.887141985,0.0
0.897149365,0.0
0.906824081,0.0
0.917054233,0.0
0.926794277,0.0
0.937061368,0.0
0.946800851,0.0
0.957059987,0.0
0.967137135,0.0
0.977131765,0.0
0.987145614,0.0
0.997140276,0.0
1.006830726,0.0
1.017059893,0.0
1.026812361,0.0
1.037070029,0.0
1.046814011,0.0
1.057056663,0.0
1.066940275,0.0
1.077063799,0.0
1.087894106,0.0
1.097058059,0.0
1.10708194,0.0
1.117086695,0.0
1.126815537,0.0
1.137071455,0.0
1.146825798,0.0
1.157059402,0.0
1.166962076,0.0
1.177067459,0.0
1.187092793,0.0
1.197204489,0.0
1.206846563,0.0
1.217057729,0.0
1.226833807,0.0
1.237064365,0.0
1.246827849,0.0
1.257065703,0.0
1.267010239,0.0
1.27707212,0.0
1.287223769,0.0
1.297162383,0.0
1.307079511,0.0
1.317053765,0.0
1.327061271,0.0
1.337074026,0.0
1.346840634,0.0
1.357056145,0.0
1.366939772,0.0
1.377058796,0.0
1.387165179,0.0
1.397153059,0.0
1.407171814,0.0
1.417060551,0.0
1.427064931,0.0
1.437070311,0.0
1.446848795,0.0
1.457056649,0.0
1.466939807,0.0
1.477055956,0.0
1.487166214,0.0
1.497160219,0.0
1.507084472,0.0
1.517072727,0.0
1.527060341,0.0
1.537075221,0.0
1.546848596,0.0
1.557066435,0.0
1.566971984,0.0
1.577069117,0.0
1.587101483,0.0
1.5972436,0.0
1.607203136,0.0
1.617223391,0.0
1.627053517,0.0
1.637248777,0.0
1.646845632,0.0
1.657073518,0.0
1.667057038,0.0
1.677067138,0.0
1.687075754,0.0
1.697178683,0.0
1.707266566,0.0
1.717070802,0.0
1.727058183,0.0
1.737061438,0.0
1.746995942,0.0
1.757205079,0.0
1.767215335,0.0
1.777102337,0.0
1.787235205,0.0
1.797068973,0.0
1.807198232,0.0
1.817179487,0.0
1.827057599,0.0
1.83707523,0.0
1.84684759,0.0
1.857072851,0.0
1.866960744,0.0
1.877059128,0.0
1.887194762,0.0
1.897175142,0.0
1.907087771,0.0
1.917075901,0.0
1.927059031,0.0
1.937076787,0.0
1.946852397,0.0
1.957066518,0.0
1.967170807,0.0
1.977173563,0.0
1.987180819,0.0
1.99718195,0.0
2.007091688,0.0
2.017076818,0.0
2.027063574,0.0
2.03706908,0.0
2.046849689,0.0
2.057077309,0.0
2.06703458,0.0
2.077075728,0.0
2.087204737,0.0
2.097070848,0.0
2.10712173,0.0
2.117140361,0.0
2.12706274,0.0
2.137148998,0.0
2.146853855,0.0
2.157076758,0.0
2.166993011,0.0
2.177080394,0.0
2.187210872,0.0
2.197216659,0.0
2.207133413,0.0
2.217099168,0.0
2.227063422,0.0
2.237158681,0.0
2.246863523,0.0
2.257090924,0.0
2.266995178,0.0
2.27707056,0.0
2.287215961,0.0
2.297226092,0.0
2.307089203,0.0
2.317078833,0.0
2.327061089,0.0
2.337081345,0.0
2.34685258,0.0
2.357073966,0.0
2.366977094,0.0
2.377079603,0.0
2.387201127,0.0
2.397196007,0.0
2.407207263,0.0
2.417075376,0.0
2.427065256,0.0
2.437076512,0.0
2.446860871,0.0
2.457076149,0.0
2.466981636,0.0
2.477079785,0.0
2.487201294,0.0
2.497130048,0.0
2.507177305,0.0
2.517097059,0.0
2.527065548,0.0
2.537072928,0.0
2.546861413,0.0
2.557102816,0.0
2.567077321,0.0
2.577127953,0.0
2.587279103,0.0
2.597112573,0.0
2.607235098,0.0
2.617231228,0.0
2.627064714,0.0
2.637267366,0.0
2.646866095,0.0
2.657081981,0.0
2.667045736,0.0
2.677193761,0.0
2.687081872,0.0
2.697095753,0.0
2.707208261,0.0
2.717187891,0.0
2.727062143,0.0
2.737181651,0.0
2.747015902,0.0
2.75714638,0.0
2.767110634,0.0
2.777081795,0.0
2.787227179,0.0
2.797107056,0.0
2.807211814,0.0
2.817223195,0.0
2.827070431,0.0
2.837077686,0.0
2.84686817,0.0
2.857078041,0.0
2.866999559,0.0
2.877082958,0.0
2.887220467,0.0
2.897210597,0.0
2.907219977,0.0
2.917080713,0.0
2.927067468,0.0
2.937087974,0.0
2.946871083,0.0
2.957084047,0.0
2.967212509,0.0
2.977212248,0.0
2.987225753,0.0
2.997214633,0.0
3.007087511,0.0
3.017077141,0.0
3.027071146,0.0
3.037081526,0.0
3.046875136,0.0
3.057161149,0.0
3.067118418,0.0
3.077089158,0.0
3.087275558,0.0
3.097082918,0.0
3.107214942,0.0
3.117083304,0.0
3.127067308,0.0
3.137089439,0.0
3.146881298,0.0
3.15711931,0.0
3.16710008,0.0
3.177079444,0.0
3.187244563,0.0
3.197250475,0.0
3.207227355,0.0
3.21708459,0.0
3.22706547,0.0
3.237083101,0.0
3.246866335,0.0
3.257086081,0.0
3.267042616,0.0
3.277083622,0.0
3.287146488,0.0
3.297239262,0.0
3.307229892,0.0
3.317080893,0.0
3.327067632,0.0
3.337087138,0.0
3.346874623,0.0
3.357082758,0.0
3.367014152,0.0
3.377082284,0.0
3.387231934,0.0
3.397232939,0.0
3.40724707,0.0
3.41708618,0.0
3.42706806,0.0
3.437304962,0.0
3.447069806,0.0
3.457310707,0.0
3.467237085,0.0
3.477085947,0.0
3.487241596,0.0
3.497236851,0.0
3.507229856,0.0
3.517091843,0.0
3.527068848,0.0
3.537191606,0.0
3.546868087,0.0
3.55730476,0.0
3.567052994,0.0
3.577142626,0.0
3.587127334,0.0
3.597151621,0.0
3.607232394,0.0
3.61709363,0.0
3.62707426,0.0
3.637278536,0.0
3.646854999,0.0
3.657138511,0.0
3.667085779,0.0
3.677245927,0.0
3.687283024,0.0
3.697197666,0.0
3.707083542,0.0
3.717112546,0.0
3.727076282,0.0
3.737122536,0.0
3.747164307,0.0
3.757268281,0.0
3.767068655,0.0
3.777249943,0.0
3.787125927,0.0
3.797154806,0.0
3.807240062,0.0
3.81725594,0.0
3.827074064,0.0
3.837094818,0.0
3.846886301,0.0
3.85731383,0.0
3.867031061,0.0
3.877090705,0.0
3.887261213,0.0
3.897255091,0.0
3.907228718,0.0
3.917096953,0.0
3.927075456,0.0
3.93730798,0.0
3.947088838,0.0
3.957303111,0.0
3.967254488,0.0
3.977246226,0.0
3.987260839,0.0
3.997257608,0.0
4.007245611,0.0
4.017353882,0.0
4.027076222,0.0
4.037183744,0.0
4.046876708,0.0
4.057310379,0.0
4.067147362,0.0
4.077122614,0.0
4.087283513,0.0
4.097269624,0.0
4.107087248,0.0
4.117091001,0.0
4.127084004,0.0
4.137153759,0.0
4.146878241,0.0
4.157169126,0.0
4.167124643,0.0
4.177209149,0.0
4.187299123,0.0
4.197271907,0.0
4.207320786,0.0
4.217113394,0.0
4.227078146,0.0
4.237164402,0.0
4.246895132,0.0
4.257318177,0.0
4.267070518,0.0
4.277134039,0.0
4.287291796,0.0
4.297301924,0.0
4.307239801,0.0
4.31709391,0.0
4.327076287,0.0
4.337096416,0.0
4.346905023,0.0
4.357313319,0.0
4.36705255,0.0
4.377094929,0.0
4.387274812,0.0
4.397268315,0.0
4.407284318,0.0
4.417098192,0.0
4.427084945,0.0
4.437090057,0.0
4.446936056,0.0
4.457273443,0.0
4.467270962,0.0
4.47710207,0.0
4.487280344,0.0
4.497271347,0.0
4.507252599,0.0
4.51717071,0.0
4.527101836,0.0
4.537123715,0.0
4.546945198,0.0
4.557405994,0.0
4.567166225,0.0
4.577096962,0.0
4.587317236,0.0
4.597367193,0.0
4.607257116,0.0
4.61709585,0.0
4.627103603,0.0
4.637302001,0.0
4.646937839,0.0
4.657311383,0.0
4.667122365,0.0
4.67725262,0.0
4.687348358,0.0
4.697368344,0.0
4.707239249,0.0
4.717106623,0.0
4.727080858,0.0
4.737122486,0.0
4.747084611,0.0
4.757228367,0.0
4.767201852,0.0
4.777392015,0.0
4.78731339,0.0
4.797226123,0.0
4.807257001,0.0
4.817292612,0.0
4.827092859,0.0
4.837122377,0.0
4.846963859,0.0
4.857304385,0.0
4.86707199,0.0
4.877098618,0.0
4.88729614,0.0
4.897299267,0.0
4.907256143,0.0
4.917091499,0.0
4.927082126,0.0
4.937115128,0.0
4.946953736,0.0
4.957291121,0.0
4.967289748,0.0
4.977295639,0.0
4.987289985,0.0
4.997298878,0.0
5.007242643,0.0
5.017307646,0.0
5.027105003,0.0
5.037338651,0.0
5.046968237,0.0
5.057314653,0.0
5.067097885,0.0
5.077090011,0.0
5.087348534,0.0
5.097360286,0.0
5.107265395,0.0
5.117186395,0.0
5.127101629,0.0
5.137148882,0.0
5.146975254,0.0
5.157400782,0.0
5.167174637,0.0
5.177142763,0.0
5.187208517,0.0
5.197328662,0.0
5.207267771,0.0
5.217102519,0.0
5.227103146,0.0
5.237198275,0.0
5.246978506,0.0
5.2574143,0.0
5.267117403,0.0
5.27712303,0.0
5.287328661,0.0
5.297419665,0.0
5.307266413,0.0
5.317105646,0.0
5.327087647,0.0
5.3371394,0.0
5.346994632,0.0
5.357316923,0.0
5.367109154,0.0
5.377117781,0.0
5.387317428,0.0
5.397303414,0.0
5.407325542,0.0
5.417115522,0.0
5.427088773,0.0
5.437135901,0.0
5.447001524,0.0
5.45731005,0.0
5.467307426,0.0
5.477306678,0.0
5.487314023,0.0
5.49730929,0.0
5.507248415,0.0
5.51715579,0.0
5.527130291,0.0
5.537141543,0.0
5.547035401,0.0
5.557405928,0.0
5.567179174,0.0
5.577138408,0.0
5.587326181,0.0
5.597338433,0.0
5.607420312,0.0
5.617308436,0.0
5.627120791,0.0
5.637169169,0.0
5.647019652,0.0
5.65741582,0.0
5.667122674,0.0
5.677325056,0.0
5.687377779,0.0
5.697327421,0.0
5.707468332,0.0
5.717261563,0.0
5.727110047,0.0
5.737172675,0.0
5.747190303,0.0
5.757455952,0.0
5.767232434,0.0
5.777331203,0.0
5.787257548,0.0
5.797389928,0.0
5.807275318,0.0
5.817330165,0.0
5.827093052,0.0
5.837163322,0.0
5.84703793,0.0
5.857342581,0.0
5.867126312,0.0
5.877124439,0.0
5.887328587,0.0
5.897324214,0.0
5.90726159,0.0
5.917129823,0.0
5.927127825,0.0
5.937166828,0.0
5.947038811,0.0
5.957340353,0.0
5.967321589,0.0
5.977537487,0.0
5.987328968,0.0
5.997542992,0.0
6.007258596,0.0
6.017342975,0.0
6.027092455,0.0
6.037372855,0.0
6.047059584,0.0
6.05740447,0.0
6.067238343,0.0
6.077202844,0.0
6.087380242,0.0
6.097345977,0.0
6.107275227,0.0
6.117210978,0.0
6.127108212,0.0
6.137231983,0.0
6.147064341,0.0
6.157398366,0.0
6.167208599,0.0
6.17715535,0.0
6.18746311,0.0
6.197367249,0.0
6.207284359,0.0
6.217161109,0.0
6.227105968,0.0
6.237202739,0.0
6.247074222,0.0
6.257358997,0.0
6.267259872,0.0
6.277161481,0.0
6.287437521,0.0
6.297456024,0.0
6.307303757,0.0
6.317167365,0.0
6.327107615,0.0
6.337195495,0.0
6.347088119,0.0
6.357560664,0.0
6.367130125,0.0
6.377177128,0.0
6.387343634,1.0
6.397346637,1.0
6.407361514,1.0
