Time,CAN1_TCM_TST_MSG_112_70h_tmpCltActTC_t4
294.211148983,103.0
296.766276474,103.0
299.326810661,103.0
301.881557808,103.0
304.441981054,103.0
306.997017566,103.0
309.557353687,103.0
312.112775842,103.0
314.67261575,103.0
317.23304808,103.0
319.788144111,103.0
322.348417939,103.0
324.903829597,103.0
327.46386239,103.0
330.019570927,103.0
332.579195537,103.0
335.134650187,103.0
337.694639923,103.0
340.254992261,103.0
341.199982119,103.0
342.810683862,103.0
345.37049538,103.0
347.925857275,103.0
350.48581583,103.0
353.041520736,103.0
355.601493978,103.0
358.156613733,103.0
360.717026599,103.0
363.276904468,103.0
365.832508285,103.0
368.392374441,103.0
370.947535006,103.0
373.508101395,103.0
376.063323673,103.0
378.623565829,103.0
381.178430064,103.0
383.738677842,103.0
386.299023678,103.0
388.85441798,103.0
391.414720406,103.0
393.969699335,103.0
396.530337059,103.0
399.085414731,103.0
401.645467692,103.0
404.200820732,103.0
406.761119578,103.0
409.321466862,103.0
411.876247336,103.0
414.436750983,103.0
416.991759267,103.0
419.551960765,103.0
422.107430362,103.0
424.667379018,102.0
427.227978343,102.0
429.782948915,102.0
432.343278855,103.0
434.89839222,105.0
437.458653739,105.0
440.013926006,105.0
442.574063768,105.0
445.129530393,106.0
447.689448529,106.0
450.249717062,106.0
452.805031294,106.0
455.365210599,106.0
457.920491928,107.0
460.480698969,107.0
463.035896984,109.0
465.596003516,110.0
468.151386079,114.0
470.711813579,114.0
473.271684597,114.0
475.827262398,114.0
478.387072434,114.0
480.942446473,114.0
483.502852554,114.0
486.058038169,116.0
488.618299592,119.0
491.173385409,122.0
493.733673696,123.0
496.293777467,123.0
498.84891867,123.0
501.409479221,123.0
503.964534426,123.0
506.524923213,123.0
509.079995227,123.0
511.640284926,123.0
514.195227027,123.0
516.755608461,123.0
519.315976532,123.0
521.871098295,123.0
524.431353731,123.0
526.986575431,123.0
529.546800633,124.0
532.102172892,125.0
534.662288215,125.0
537.222554856,125.0
539.777589082,128.0
542.337904351,130.0
544.89294067,130.0
547.453287348,130.0
550.008913858,130.0
552.568830158,130.0
555.124139594,130.0
557.684250015,130.0
560.244514887,130.0
562.799575763,130.0
565.360002525,132.0
567.915212039,133.0
570.475248242,133.0
573.031036152,133.0
575.59098621,133.0
578.146037883,133.0
580.706380516,133.0
583.266483382,133.0
585.821827776,133.0
588.38195939,133.0
590.93727184,133.0
593.497018827,133.0
596.053078129,133.0
598.613649569,133.0
601.167999799,133.0
603.728508282,132.0
606.28844415,132.0
608.843829527,132.0
611.404041748,132.0
613.959015422,132.0
616.519389,132.0
619.075084094,132.0
621.635301639,132.0
624.189766882,132.0
626.750010988,132.0
629.310572329,132.0
631.866080455,132.0
634.426700231,132.0
636.981302561,132.0
639.541287422,132.0
642.096807325,132.0
644.657095169,132.0
647.212362669,132.0
649.772225817,132.0
652.332636127,132.0
654.888022168,132.0
657.448339637,132.0
660.003518456,131.0
662.563718559,131.0
665.119356996,131.0
667.679187442,131.0
670.239758485,131.0
672.794216046,131.0
675.354591043,131.0
677.910470272,131.0
680.470598362,131.0
