Time,CAN2_TCM_C08_CurrGr_Stat_PT_t2
0.031989681,0.0
0.052016313,0.0
0.072011445,0.0
0.092206221,0.0
0.112009457,0.0
0.132009323,0.0
0.151986453,0.0
0.171981834,0.0
0.192203362,0.0
0.212014723,0.0
0.232005854,0.0
0.252014361,0.0
0.272026992,0.0
0.292217628,0.0
0.31202649,0.0
0.332233266,0.0
0.352034628,0.0
0.372047884,0.0
0.392223035,0.0
0.412023505,0.0
0.432017637,0.0
0.452040519,0.0
0.472003774,0.0
0.492240677,0.0
0.512040163,0.0
0.532056669,0.0
0.552242055,0.0
0.572058432,0.0
0.592271569,0.0
0.612049178,0.0
0.63205681,0.0
0.652072067,0.0
0.672134328,0.0
0.692359735,0.0
0.712131473,0.0
0.732134483,0.0
0.752145354,0.0
0.772033736,0.0
0.792199001,0.0
0.812071008,0.0
0.832084893,0.0
0.852066653,0.0
0.872079522,0.0
0.892202177,0.0
0.912097668,0.0
0.932069428,0.0
0.952063188,0.0
0.972095074,0.0
0.992200712,0.0
1.012084578,0.0
1.032086088,0.0
1.052111224,0.0
1.072066358,0.0
1.092213622,0.0
1.11210088,0.0
1.13210864,0.0
1.152107775,0.0
1.172131396,0.0
1.192349177,0.0
1.212091416,0.0
1.232105926,0.0
1.252081295,0.0
1.272115056,0.0
1.29222846,0.0
1.312121827,0.0
1.332304732,0.0
1.352094096,0.0
1.372065606,0.0
1.39222687,0.0
1.412119503,0.0
1.43237902,0.0
1.452102133,0.0
1.472110768,0.0
1.492222546,0.0
1.512142414,0.0
1.532128549,0.0
1.55233683,0.0
1.572141929,0.0
1.592230458,0.0
1.612156075,0.0
1.63216396,0.0
1.652122094,0.0
1.672115855,0.0
1.69240289,0.0
1.71218838,0.0
1.732194392,0.0
1.752193278,0.0
1.772202399,0.0
1.792226786,0.0
1.812183922,0.0
1.832167433,0.0
1.852120803,0.0
1.87215719,0.0
1.892232454,0.0
1.912172089,0.0
1.932149349,0.0
1.952108735,0.0
1.972152872,0.0
1.992257762,0.0
2.012171896,0.0
2.032175266,0.0
2.052178403,0.0
2.072181665,0.0
2.092257678,0.0
2.112184563,0.0
2.132196449,0.0
2.152194195,0.0
2.172201331,0.0
2.192263969,0.0
2.21222573,0.0
2.232174865,0.0
2.252145501,0.0
2.272227514,0.0
2.292349779,0.0
2.312210912,0.0
2.332397553,0.0
2.352206545,0.0
2.372227557,0.0
2.392253819,0.0
2.412229955,0.0
2.432218575,0.0
2.452174335,0.0
2.472238098,0.0
2.492265986,0.0
2.512197745,0.0
2.532204507,0.0
2.552424524,0.0
2.572187279,0.0
2.592262168,0.0
2.612245164,0.0
2.632235175,0.0
2.652232686,0.0
2.672245573,0.0
2.692269334,0.0
2.712255719,0.0
2.732263839,0.0
2.752281975,0.0
2.77228536,0.0
2.793109204,0.0
2.812227505,0.0
2.832237266,0.0
2.852220651,0.0
2.872261913,0.0
2.892286674,0.0
2.912274293,0.0
2.932265678,0.0
2.952265439,0.0
2.972221558,0.0
2.992294336,0.0
3.012301222,0.0
3.032246091,0.0
3.052268352,0.0
3.072273113,0.0
3.092284873,0.0
3.112257883,0.0
3.13230802,0.0
3.152227638,0.0
3.172286025,0.0
3.19228866,0.0
3.212287546,0.0
3.232280806,0.0
3.252304193,0.0
3.272256936,0.0
3.292321089,0.0
3.312293083,0.0
3.333097802,0.0
3.352299354,0.0
3.372305365,0.0
3.39228325,0.0
3.412286261,0.0
3.432275521,0.0
3.452306642,0.0
3.472262402,0.0
3.492297538,0.0
3.512303924,0.0
3.532291559,0.0
3.553148748,0.0
3.573128274,0.0
3.592319326,0.0
3.613146263,0.0
3.632331847,0.0
3.652320482,0.0
3.672326115,0.0
3.692297745,0.0
3.712308127,0.0
3.732279118,0.0
3.752259249,0.0
3.772299756,0.0
3.792308263,0.0
3.812324769,0.0
3.832296384,0.0
3.852342158,0.0
3.872340023,0.0
3.892339404,0.0
3.912350411,0.0
3.932346167,0.0
3.952357174,0.0
3.972374556,0.0
3.992325936,0.0
4.012327068,0.0
4.032319683,0.0
4.052324314,0.0
4.072327571,0.0
4.092358953,0.0
4.112352584,0.0
4.132363466,0.0
4.152325706,0.0
4.172375089,0.0
4.192380721,0.0
4.212391477,0.0
4.232378483,0.0
4.252329989,0.0
4.272340495,0.0
4.293206196,0.0
4.312354118,0.0
4.333173692,0.0
4.35234613,0.0
4.372392888,0.0
4.392399644,0.0
4.412392526,0.0
4.432395657,0.0
4.452344021,0.0
4.472401529,0.0
4.492404035,0.0
4.512402167,0.0
4.532397673,0.0
4.553288984,0.0
4.573207003,0.0
4.592384442,0.0
4.613244486,0.0
4.632340189,0.0
4.652407822,0.0
4.672409326,0.0
4.692405079,0.0
4.712411708,0.0
4.73242507,0.0
4.752784239,0.0
4.772790492,0.0
4.793238523,0.0
4.81323551,0.0
4.832779237,0.0
4.852391215,0.0
4.872380953,0.0
4.892406082,0.0
4.912425961,0.0
4.932387213,0.0
4.952441218,0.0
4.972444471,0.0
4.992441975,0.0
5.012438212,0.0
5.032654612,0.0
5.052443969,0.0
5.072402971,0.0
5.092413475,0.0
5.112422353,0.0
5.132407981,0.0
5.152423735,0.0
5.172431489,0.0
5.192654998,0.0
5.212647735,0.0
5.232434983,0.0
5.252656477,0.0
5.273264557,0.0
5.293094417,0.0
5.312644862,0.0
5.333278193,0.0
5.352413237,0.0
5.372446617,0.0
5.393098167,0.0
5.412662254,0.0
5.432657757,0.0
5.453523344,0.0
5.472445243,0.0
5.492659767,0.0
5.512689005,0.0
5.532441003,0.0
5.553518471,0.0
5.573293453,0.0
5.592660393,0.0
5.6126856,0.0
5.633102067,0.0
5.652656387,0.0
5.672657407,0.0
5.693105689,0.0
5.712716777,0.0
5.73265703,0.0
5.752657519,0.0
5.773309087,0.0
5.793106586,0.0
5.813331596,0.0
5.833331976,0.0
5.853522625,0.0
5.873103338,0.0
5.893139468,0.0
5.912706039,0.0
5.932666809,0.0
5.953111808,0.0
5.972680443,0.0
5.993139349,0.0
6.012713561,0.0
6.032679815,0.0
6.05268682,0.0
6.072675074,0.0
6.092712954,0.0
6.112706802,0.0
6.133132239,0.0
6.152691452,0.0
6.173121373,0.0
6.193157753,0.0
6.212764826,0.0
6.233138886,0.0
6.253138453,0.0
6.272699587,0.0
6.29338839,0.0
6.312751472,0.0
6.333353789,0.0
6.353144741,0.0
6.372706234,0.0
6.39276849,0.0
6.412746603,0.0
6.433149025,0.0
6.452714346,0.0
6.473153783,0.0
6.492749496,0.0
6.512750735,0.0
6.532720879,0.0
6.553382635,0.0
6.572707231,0.0
6.592745128,0.0
6.612787883,0.0
6.6333952,0.0
6.652671623,0.0
6.67316357,0.0
6.692752791,0.0
6.71276843,0.0
6.733180093,0.0
6.752748314,0.0
6.773184494,0.0
6.79343053,0.0
6.813430746,0.0
6.833387789,0.0
6.853605198,0.0
6.872949898,0.0
6.89275989,2.0
6.912783858,2.0
6.932752416,2.0
6.953200034,2.0
6.973203861,2.0
6.992806831,2.0
7.01280808,2.0
7.033220509,2.0
7.052771339,2.0
7.073223785,2.0
7.092809507,2.0
7.112807145,2.0
7.133212933,2.0
7.153218401,2.0
7.172781542,2.0
7.192806681,2.0
7.213253847,2.0
7.232781082,2.0
7.253238575,2.0
7.2732369,2.0
7.292824872,2.0
7.313480652,2.0
7.33345682,2.0
7.353237172,2.0
7.373232826,2.0
7.392817672,2.0
7.412826294,2.0
7.433236849,2.0
7.453233159,2.0
7.472801333,2.0
7.492841722,2.0
7.512838079,2.0
7.532820623,2.0
7.553473512,2.0
7.573486822,2.0
7.592844163,2.0
7.612865145,2.0
7.633471361,2.0
7.653274838,2.0
7.673256737,2.0
7.692850578,2.0
