Time,CAN2_MCM_C02_EngSpd_Cval_PT_t7
0.037443241,598.4
0.047614233,598.4
0.057419731,598.5600000000001
0.067413281,598.88
0.07742341,599.04
0.087564791,598.88
0.097541935,598.4
0.107401997,598.08
0.11743225,597.6
0.12759918,597.6
0.137467649,597.12
0.147404181,597.12
0.157493312,597.12
0.167430563,597.12
0.177440411,596.64
0.187564682,596.64
0.19754342,596.32
0.207406559,597.12
0.217449814,597.92
0.227601806,597.92
0.237479306,598.08
0.247620015,598.08
0.257441529,598.88
0.267608302,599.36
0.277433707,599.84
0.287448461,600.16
0.297452699,599.6800000000001
0.307415169,599.04
0.317453814,598.4
0.327603977,598.08
0.33747093,598.08
0.347603969,598.08
0.357451593,598.5600000000001
0.367591865,598.5600000000001
0.377457317,598.4
0.387550183,598.4
0.397543608,598.08
0.407560862,598.08
0.417474988,598.08
0.427422848,598.08
0.437474322,598.4
0.447419339,598.4
0.457466328,599.04
0.467556083,599.84
0.477463818,600.8000000000001
0.487550965,601.12
0.49754789,600.64
0.507651973,600.32
0.517470487,599.84
0.527620651,599.84
0.537484994,599.84
0.547425136,600.32
0.557463875,600.8000000000001
0.567639148,600.64
0.577467491,600.32
0.587476134,599.84
0.597599782,599.36
0.607617035,599.04
0.617619272,599.6800000000001
0.627646026,599.6800000000001
0.637449274,599.84
0.647433856,599.84
0.657479892,600.32
0.667652041,600.32
0.677560294,601.12
0.687578035,601.12
0.69758279,600.64
0.707620046,600.32
0.717481016,600.16
0.727642947,600.64
0.737492183,600.32
0.747448327,600.64
0.757565398,600.64
0.76757295,600.32
0.777497203,600.16
0.78742966,599.84
0.79755909,599.6800000000001
0.807629081,599.6800000000001
0.817563585,600.16
0.827430055,600.16
0.837479312,600.16
0.847428847,599.84
0.857474978,600.32
0.867611361,600.64
0.877481488,601.12
0.887563964,601.44
0.897572845,600.8000000000001
0.907472753,601.12
0.917479228,600.64
0.927440138,600.64
0.937489394,600.64
0.947451148,600.8000000000001
0.957484889,601.12
0.967560661,601.12
0.977556744,600.64
0.987570672,600.32
0.997562302,599.84
1.007479383,599.36
1.01748342,599.36
1.027458174,599.04
1.037497915,598.88
1.047461169,598.88
1.057480143,599.04
1.067599588,599.6800000000001
1.077487326,600.32
1.087470673,600.32
1.097483039,599.04
1.107748598,597.92
1.117511722,596.8000000000001
1.127456693,596.64
1.137496325,596.64
1.14747597,597.44
1.157481225,597.6
1.167625875,597.92
1.177492455,597.44
1.187517883,596.8000000000001
1.197629469,596.32
1.20749222,596.32
1.217484131,596.8000000000001
1.227479605,596.8000000000001
1.237489361,597.44
1.247475115,597.92
1.257489136,598.4
1.267472782,598.88
1.277497146,599.36
1.287647296,599.6800000000001
1.297585878,599.6800000000001
1.307503022,599.84
1.31747726,599.6800000000001
1.327486297,599.84
1.337499052,600.16
1.347489292,600.32
1.357478437,600.16
1.367608039,600.16
1.377483775,599.6800000000001
1.387591705,599.36
1.397577945,599.04
1.4075952,599.04
1.417483953,599.84
1.427488426,600.16
1.437495353,600.32
1.447496108,600.16
1.457481691,600.16
1.467588621,600.64
1.477477858,601.44
1.4875911,601.6
1.497582261,601.12
1.507510999,600.8000000000001
1.517494754,600.16
1.527483837,600.16
1.537497264,600.16
1.547497347,599.84
1.557488258,599.84
1.567640251,600.16
1.577491097,599.84
1.587526525,599.6800000000001
1.597667017,599.36
1.607626537,599.36
1.617648293,599.6800000000001
1.627496419,599.04
1.637675179,599.04
1.64749893,598.88
1.657497169,599.04
1.667498424,599.6800000000001
1.677489399,600.16
1.687500827,600.64
1.697602085,600.16
1.707689952,599.84
1.717497188,599.36
1.727706839,599.36
1.737484918,599.6800000000001
1.747686741,599.6800000000001
1.757627104,600.16
1.767638735,600.16
1.777527332,599.84
1.787661763,599.36
1.797494109,598.5600000000001
1.807626258,598.4
1.817606013,598.5600000000001
1.827727272,598.88
1.837506226,598.88
1.847499263,598.88
1.857502502,599.36
1.867607996,599.84
1.877502014,600.16
1.887619664,600.32
1.897598653,599.84
1.907518657,599.6800000000001
1.917505428,598.88
1.927515559,598.88
1.937501814,599.04
1.947516054,599.36
1.957716643,599.04
1.967597193,598.88
1.977600059,598.4
1.987605799,597.92
1.997603835,597.6
2.007518089,597.6
2.017501844,598.08
2.027523319,598.08
2.037713236,598.5600000000001
