Time,CAN2_TCM_C03_InShaftSpd_Cval_PT_t9
0.020094915,590.08
0.029674253,591.36
0.040149054,607.6800000000001
0.050079168,604.96
0.060142926,594.72
0.069668246,595.36
0.079707878,598.88
0.089749386,597.28
0.100086042,596.96
0.109694756,605.28
0.120102914,600.48
0.129668377,595.6800000000001
0.140139803,595.36
0.150096042,603.6800000000001
0.1601478,594.4
0.169676245,605.28
0.179717753,610.88
0.189697133,602.5600000000001
0.200088166,602.08
0.20970738,596.48
0.220097663,596.0
0.229683377,589.12
0.240148802,612.48
0.250112667,608.96
0.260154049,600.48
0.270106163,600.48
0.280148545,604.96
0.290162427,599.6800000000001
0.300101665,597.6
0.310127657,609.6
0.320100537,602.08
0.330104419,596.0
0.340149551,601.6
0.350107291,604.0
0.360157548,594.4
0.370104287,601.6
0.37971475,603.6800000000001
0.390116674,597.28
0.400104539,596.0
0.410137797,604.0
0.420106911,600.0
0.430104277,594.4
0.4401533,605.6
0.450535958,601.6
0.460156406,599.36
0.470104036,594.72
0.479712999,609.6
0.489772008,597.28
0.500109039,596.48
0.509699752,607.6800000000001
0.52010991,604.0
0.529681874,597.6
0.539985884,604.0
0.55010553,596.96
0.560156533,594.72
0.569685723,606.08
0.579723476,606.5600000000001
0.589705727,599.36
0.600115505,597.6
0.609714715,595.6800000000001
0.620109867,591.6800000000001
0.629678826,592.0
0.640148997,608.96
0.650112357,604.0
0.660163485,598.88
0.669686925,597.28
0.679721677,600.48
0.68975068,595.36
0.700109457,609.28
0.709711666,606.88
0.720108319,603.36
0.729686153,598.08
0.740159574,602.88
0.74968464,597.6
0.760165061,594.4
0.769693002,604.0
0.780146672,608.0
0.790162049,600.48
0.800105908,596.96
0.809720618,597.6
0.820120146,594.72
0.829687854,594.4
0.840161275,611.6800000000001
0.850114635,604.0
0.860166888,600.96
0.869728329,600.48
0.879736331,600.48
0.889751083,596.48
0.900158361,604.96
0.909711928,606.5600000000001
0.920156223,602.88
0.929732057,594.08
0.940148335,600.96
0.950143837,598.08
0.960160823,592.0
0.969756531,602.08
0.979738157,601.28
0.989738284,595.6800000000001
1.000160813,595.6800000000001
1.009760522,595.6800000000001
1.020119299,594.72
1.029692507,591.36
1.040164162,609.28
1.049703745,604.48
1.060167525,596.96
1.069731982,596.0
1.079735234,596.48
1.089790112,592.0
1.100122763,604.48
1.109729957,602.88
1.120118875,599.36
1.12973146,592.8000000000001
1.140162489,601.6
1.150118723,596.96
1.160167476,591.6800000000001
1.169743809,600.0
1.179726435,605.28
1.189758297,596.96
1.200151591,595.36
1.209733408,595.6800000000001
1.220126452,598.88
1.229746912,593.6
1.240171816,607.6800000000001
1.2501193,604.0
1.260166678,596.0
1.269745261,596.0
1.279722387,607.36
1.290210543,599.6800000000001
1.300121401,603.36
1.310172153,606.5600000000001
1.320153904,600.96
1.330192141,594.08
1.340213643,599.6800000000001
1.350157394,594.72
1.360037985,590.08
1.370196257,600.48
1.379734214,600.96
1.390145618,596.48
1.400133478,594.08
1.409749687,591.36
1.420170731,592.0
1.429747315,588.48
1.440163969,606.5600000000001
1.450132078,603.6800000000001
1.460171331,594.72
1.469762539,594.08
1.47973329,596.48
1.489802278,591.36
1.499740028,598.88
1.509766764,605.28
1.520165058,601.6
1.529750267,594.4
1.540172542,602.88
1.550128522,606.5600000000001
1.560174896,595.36
1.569780851,606.5600000000001
1.579742472,610.24
1.589800705,599.6800000000001
1.600125228,600.0
1.609783184,597.6
1.620181474,592.0
1.62978768,594.08
1.640175328,611.36
1.649775409,608.48
1.660176182,599.36
1.669777512,600.0
1.679737369,596.0
1.689809117,589.12
1.70013789,603.36
1.709783971,606.5600000000001
1.720197136,602.08
1.729782466,597.6
1.74002622,596.0
1.750139845,592.8000000000001
1.760175719,587.2
1.769798049,606.5600000000001
1.780167823,605.28
1.79015882,597.28
1.800135676,597.6
1.810175799,594.72
1.820189172,592.8000000000001
1.829797378,596.48
1.840182026,609.28
1.850144257,608.0
1.860185756,597.28
1.870172003,596.96
1.880170235,599.6800000000001
1.890043838,594.08
1.900178589,601.28
1.91015546,605.6
1.920214585,602.88
1.93018394,596.48
1.940159687,603.6800000000001
1.950158419,603.36
1.960187167,596.96
1.970194415,607.36
1.979776729,608.96
1.990159269,600.0
1.999791458,601.28
2.010037103,598.88
2.020215246,592.8000000000001
2.030031833,598.4
2.040183959,614.24
2.05014108,608.0
2.060212455,606.08
2.070044307,601.28
2.080164542,597.6
2.090110163,595.6800000000001
2.100141786,613.28
2.110050765,611.6800000000001
2.120210407,605.28
2.130041994,600.96
2.140220762,596.0
2.150142742,597.28
2.160185865,587.2
2.170043093,613.28
2.180178719,609.28
2.190168701,602.5600000000001
2.200152948,596.48
2.210053177,597.28
2.220233695,595.6800000000001
2.230049531,590.08
2.240232424,611.36
2.250146903,604.96
2.260042757,601.6
2.27005513,598.08
2.280032736,602.88
2.290199504,597.28
2.300144859,606.5600000000001
2.310212858,602.5600000000001
2.320239606,601.6
2.330219587,594.72
2.340185818,604.0
2.35016894,599.6800000000001
2.36022969,595.36
2.370218812,600.0
2.380175792,607.36
2.390170024,599.6800000000001
2.400147646,592.0
2.41005475,598.08
2.420033106,599.6800000000001
2.430075855,593.28
2.440252482,610.5600000000001
2.450187977,604.0
2.460192975,596.0
2.470075704,594.08
2.480606372,595.6800000000001
2.490109684,595.36
2.500158167,602.08
2.510077912,601.6
2.520050018,602.08
2.530062641,593.6
2.540247891,598.08
2.550161885,596.0
2.560041986,588.48
2.570089608,603.36
2.580178841,604.96
2.590175837,595.6800000000001
2.600155332,596.0
2.61008481,594.72
2.620055039,589.6
2.63008566,590.4
2.640225534,607.36
2.650163528,603.6800000000001
2.660253527,595.6800000000001
2.670098252,594.72
2.680185735,596.48
2.690209731,592.0
2.700158726,606.08
2.710094079,604.48
2.720067183,600.48
2.73010093,593.6
2.740269679,594.72
2.750153672,592.8000000000001
2.760239295,586.72
2.770111021,604.48
2.780188128,604.0
2.790176124,596.0
2.800165619,594.08
2.810108473,591.6800000000001
2.820252347,588.8000000000001
2.830273843,585.12
2.840271198,606.08
2.850167566,601.6
2.860282815,595.6800000000001
2.870191042,592.0
2.880199022,591.36
2.890215393,589.6
2.900264766,593.28
2.910178743,600.0
2.92008297,594.4
2.93020836,587.2
2.940180464,589.12
2.950236336,600.0
2.960292459,588.8000000000001
2.970222812,596.96
2.980195666,603.36
2.990211912,594.4
3.000207017,593.28
3.010113135,592.8000000000001
3.020088614,597.6
3.030117236,588.0
3.04028886,599.6800000000001
3.050171088,599.6800000000001
3.060269461,592.0
3.070138828,589.6
3.080199309,593.6
3.09017468,588.0
3.100168784,594.4
3.110115529,605.28
3.120119509,601.6
3.130107504,594.72
3.140290879,590.08
3.150170982,598.4
3.160306855,590.4
3.170147456,598.4
3.180186703,605.28
3.190176698,599.6800000000001
3.200162428,594.72
3.210148048,593.6
3.220117652,595.6800000000001
3.230151149,586.72
3.240199395,607.36
3.25017414,602.88
3.260104603,598.4
3.270147099,594.72
3.280195097,597.28
3.290232843,592.8000000000001
3.300169197,591.36
3.310142567,610.5600000000001
3.320127171,606.08
3.330267296,597.6
3.340308042,594.08
3.35021652,598.88
3.360271142,592.8000000000001
3.370295513,605.28
3.38019374,606.5600000000001
3.390181861,602.5600000000001
3.400177215,598.88
3.410303855,598.88
3.420137565,594.72
3.430164812,586.72
3.440294935,610.88
3.450187163,608.48
3.460321037,603.36
3.470169387,597.6
3.480207634,596.48
3.490244131,595.6800000000001
3.500181859,594.08
3.510167714,612.48
3.520145334,605.28
3.53016783,595.6800000000001
3.540285827,593.6
3.550177802,600.96
3.5603358,594.4
3.570189523,597.28
3.580202268,607.36
3.590212762,601.6
3.600184739,599.6800000000001
3.610180107,595.6800000000001
3.62016096,595.36
3.630167079,589.12
3.640334201,611.36
3.650185676,607.6800000000001
3.660283421,601.28
3.670194147,600.0
3.680199141,592.0
3.690229135,593.6
3.700185612,592.0
3.710187106,610.24
3.720163583,604.96
3.730187577,598.88
3.740306824,593.28
3.75021405,597.28
3.760322296,592.8000000000001
3.77019852,602.88
3.780206639,604.96
3.790218508,599.6800000000001
3.800197486,599.36
3.810164462,596.48
3.820179957,594.08
3.83017845,587.2
3.840289681,608.0
3.850408818,604.48
3.860324919,598.4
3.870219769,595.6800000000001
3.880204637,598.4
3.890252382,593.6
3.900213359,592.0
3.910211353,610.88
3.920363351,604.48
3.930228825,599.36
3.940409323,594.08
3.950202296,600.96
3.960225899,596.48
3.970234768,601.6
3.980201495,608.48
3.990258256,602.88
4.000203857,600.48
4.010208976,600.48
4.020196579,597.28
4.030219073,590.4
4.040339194,611.36
4.050242045,609.6
4.060377167,601.6
4.070237516,598.08
4.080205369,602.88
4.090262004,597.6
4.100194839,602.5600000000001
4.110229975,611.6800000000001
4.120214577,602.88
4.130234072,596.96
4.140330317,593.28
4.150237418,605.28
4.160345539,598.4
4.170241764,598.08
4.180209257,610.88
4.190260877,605.28
