Time,Calculated_CltSlip_INT_STG_t5
0.024520495,0.0
0.034536736,0.0
0.044527242,0.0
0.054542124,0.0
0.064532364,0.0
0.074399476,0.0
0.084526861,0.0
0.094546993,0.0
0.104550623,0.0
0.114530114,0.0
0.124535995,0.0
0.13454286,0.0
0.144530741,0.0
0.154542498,0.0
0.164537238,0.0
0.17455962,0.0
0.184535235,0.0
0.194556117,0.0
0.204554247,0.0
0.214542863,0.0
0.224558869,0.0
0.234548859,0.0
0.244547241,0.0
0.254556247,0.0
0.264543487,0.0
0.274565994,0.0
0.284550109,0.0
0.294407221,0.0
0.304641124,0.0
0.31463424,0.0
0.324471851,0.0
0.334558609,0.0
0.344551615,0.0
0.354350334,0.0
0.364552987,0.0
0.374594603,0.0
0.384547858,0.0
0.39440997,0.0
0.404570621,0.0
0.414551737,0.0
0.424545727,0.0
0.434581358,0.0
0.444565239,0.0
0.45457473,0.0
0.46457897,0.0
0.474577727,0.0
0.484590359,0.0
0.494586365,0.0
0.504553979,0.0
0.514568236,0.0
0.524585992,0.0
0.534579106,0.0
0.544573732,0.0
0.554585218,0.0
0.56457297,0.0
0.574451452,0.0
0.584569332,0.0
0.594588709,0.0
0.604570944,0.0
0.614569446,0.0
0.624593432,0.0
0.634581683,0.0
0.644580559,0.0
0.654617437,0.0
0.664578421,0.0
0.674571532,0.0
0.684579659,0.0
0.694602161,0.0
0.704576896,0.0
0.714576898,0.0
0.724527382,0.0
0.734592134,0.0
0.744582261,0.0
0.754599622,0.0
0.764588998,0.0
0.774577734,0.0
0.784591736,0.0
0.794448967,0.0
0.80466999,0.0
0.814585974,0.0
0.824605836,0.0
0.834604336,0.0
0.844594838,0.0
0.854613824,0.0
0.8645927,0.0
0.874587435,0.0
0.884590437,0.0
0.89461844,0.0
0.904594925,0.0
0.914596676,0.0
0.924642038,0.0
0.934603538,0.0
0.944601539,0.0
0.954620776,0.0
0.964617027,0.0
0.974607262,0.0
0.984602639,0.0
0.994627766,0.0
1.004600126,0.0
1.014608003,0.0
1.024601864,0.0
1.03461499,0.0
1.044612741,0.0
1.054617352,0.0
1.064615838,0.0
1.07464209,0.0
1.084614216,0.0
1.094634218,0.0
1.104605328,0.0
1.114610205,0.0
1.124566814,0.0
1.134646442,0.0
1.144622443,0.0
1.154643179,0.0
1.164631931,0.0
1.174621041,0.0
1.184642918,0.0
1.194639779,0.0
1.204620655,0.0
1.214643657,0.0
1.224688034,0.0
1.234634768,0.0
1.244646895,0.0
1.254652881,0.0
1.264628257,0.0
1.274626743,0.0
1.284628369,0.0
1.294650747,0.0
1.304714124,0.0
1.31468611,0.0
1.32467947,0.0
1.33464622,0.0
1.344682723,0.0
1.354649708,0.0
1.36466771,0.0
1.37465907,0.0
1.384629696,0.0
1.394516928,0.0
1.404637558,0.0
1.41464556,0.0
1.42462592,0.0
1.434635671,0.0
1.444649548,0.0
1.454661659,0.0
1.464652161,0.0
1.474638646,0.0
1.484645273,0.0
1.494672134,0.0
1.504645994,0.0
1.514650262,0.0
1.524648873,0.0
1.534657997,0.0
1.54465812,0.0
1.554663726,0.0
1.564658958,0.0
1.57464783,0.0
1.584651328,0.0
1.594683952,0.0
1.604654057,0.0
1.614654414,0.0
1.624654787,0.0
1.634668034,0.0
1.644663891,0.0
1.654681388,0.0
1.664664495,0.0
1.674657492,0.0
1.68465974,0.0
1.694684597,0.0
1.704660844,0.0
1.714662701,0.0
1.724664448,0.0
1.734677946,0.0
1.744668053,0.0
1.7546808,0.0
1.764674656,0.0
1.774672154,0.0
1.784669902,0.0
1.794747526,0.0
1.804731258,0.0
1.814673113,0.0
1.82467936,0.0
1.834695733,0.0
1.84467984,0.0
1.854695712,0.0
1.864675943,0.0
1.874676691,0.0
1.884675813,0.0
1.894772439,0.0
1.904670542,0.0
1.914679024,0.0
1.924717023,0.0
1.934702519,0.0
1.944689627,0.0
1.954701499,0.0
1.964693105,0.0
1.974729854,0.0
1.984716601,0.0
1.994742099,0.0
2.00470808,0.0
2.014729828,0.0
2.024735185,0.0
2.034718681,0.0
2.044718039,0.0
2.054722536,0.0
2.064716267,0.0
2.07470814,0.0
2.084718121,0.0
2.094736261,0.0
2.104718742,0.0
2.114714848,0.0
2.124724596,0.0
2.134733218,0.0
2.144730326,0.0
2.154734947,0.0
2.164728179,0.0
2.174714676,0.0
2.184727299,0.0
2.194739406,0.0
2.204725528,0.0
2.21472176,0.0
2.224725008,0.0
2.23473163,0.0
2.244734612,0.0
2.254743484,0.0
2.264741591,0.0
2.274726463,0.0
2.284738836,0.0
2.294755318,0.0
2.30473544,0.0
2.314729797,0.0
2.324875814,0.0
2.334742916,0.0
2.344746649,0.0
2.354751271,0.0
2.364742252,0.0
2.37473275,0.0
2.384739498,0.0
2.394819498,0.0
2.404769728,0.0
2.414737334,0.0
2.424738081,0.0
2.434743578,0.0
2.444754686,0.0
2.454764183,0.0
2.464757914,0.0
2.474740037,0.0
2.48475566,0.0
2.494769267,0.0
2.504745764,0.0
2.51474837,0.0
2.524756368,0.0
2.534757114,0.0
2.54476497,0.0
2.55476634,0.0
2.56476482,0.0
2.574755316,0.0
2.584766437,0.0
2.594770792,0.0
2.604765412,0.0
2.614757892,0.0
2.624767263,0.0
2.634767633,0.0
2.644774239,0.0
2.654775109,0.0
2.664776589,0.0
2.674757584,0.0
2.684779331,0.0
2.694783311,0.0
2.704770181,0.0
2.714765411,0.0
2.724861909,0.0
2.734778527,0.0
2.744786758,0.0
2.754805878,0.0
2.764787733,0.0
2.774774853,0.0
2.784781708,0.0
2.79482033,0.0
2.804778575,0.0
2.81477243,0.0
2.824844553,0.0
2.834789421,0.0
2.844791777,0.0
2.854788272,0.0
2.864794127,0.0
2.874770872,0.0
2.884787477,0.0
2.894806224,0.0
2.904783969,0.0
2.914778574,0.0
2.924825696,0.0
2.93479344,0.0
2.944796046,0.0
2.954798916,0.0
2.964823521,0.0
2.974788391,0.0
2.984797762,0.0
2.994805242,0.0
3.004793613,0.0
3.014783092,0.0
3.024792088,0.0
3.034784583,0.0
3.044774689,0.0
3.054796059,0.0
3.064783789,0.0
3.074868662,0.0
3.084773639,0.0
3.094841387,0.0
3.10477449,0.0
3.114785486,0.0
3.124791607,0.0
3.134792462,0.0
3.144782707,0.0
3.154830454,0.0
3.164808808,0.0
3.174808429,0.0
3.184786408,0.0
3.194807279,0.0
3.204786009,0.0
3.214792505,0.0
3.224790751,0.0
3.234806231,0.0
3.244794851,0.0
3.254812707,0.0
3.264794451,0.0
3.274803447,0.0
3.284793177,0.0
3.294820048,0.0
3.304794028,0.0
3.314803524,0.0
3.324936898,0.0
3.33481725,0.0
3.344801745,0.0
3.354816726,0.0
3.36480597,0.0
3.374804841,0.0
3.384800821,0.0
3.394826567,0.0
3.404865314,0.0
3.414807292,0.0
3.424797038,0.0
3.434814393,0.0
3.444812514,0.0
3.454830745,0.0
3.464814114,0.0
3.474823235,0.0
3.484814965,0.0
3.494830336,0.0
3.50480069,0.0
3.514815686,0.0
3.524811057,0.0
3.534827912,0.0
3.54482278,0.0
3.554839509,0.0
3.564828751,0.0
3.574835745,0.0
3.584821472,0.0
3.594845217,0.0
3.604820194,0.0
3.614826438,0.0
3.624817682,0.0
3.63484316,0.0
3.644836404,0.0
3.654846882,0.0
3.665042271,0.0
3.674833993,0.0
3.684831846,0.0
3.69485534,0.0
3.704830193,0.0
3.714833187,0.0
3.724832305,0.0
3.734850284,0.0
3.744839152,0.0
3.754851255,0.0
3.765058645,0.0
3.774841367,0.0
3.784834719,0.0
3.794877714,0.0
3.804833066,0.0
3.814842185,0.0
3.824833679,0.0
3.834865157,0.0
3.844849526,0.0
3.854864629,0.0
3.864846746,0.0
3.874925617,0.0
3.884853093,0.0
3.894883697,0.0
3.904851065,0.0
3.914869559,0.0
3.924847411,0.0
3.934863155,0.0
3.944855024,0.0
3.954867502,0.0
3.96485937,0.0
3.974854223,0.0
3.984855966,0.0
3.994875586,0.0
4.004889439,0.0
4.014859557,0.0
4.024853785,0.0
4.034872529,0.0
4.044861006,0.0
4.054886876,0.0
4.064870368,0.0
4.074892613,0.0
4.084889216,0.0
4.094951086,0.0
4.104860686,0.0
4.114886431,0.0
4.124889909,0.0
4.134881777,0.0
4.144874505,0.0
4.154909,0.0
4.164874492,0.0
