Time,CAN1_TCM_TST_MSG_112_70h_tmpCltActTC_t7
0.272906837,90.0
2.833350256,90.0
5.388935202,90.0
7.949014534,90.0
10.504206801,91.0
13.064592576,93.0
15.62475659,95.0
18.179902492,95.0
20.740562566,96.0
23.295265674,96.0
25.855690095,96.0
28.411600894,96.0
30.971366952,96.0
33.526505873,96.0
36.086866332,96.0
38.646845144,96.0
41.202286388,96.0
43.762539768,96.0
46.317767546,96.0
48.877939777,96.0
51.43350329,96.0
53.993534368,96.0
56.548552678,96.0
59.109160919,96.0
61.669120602,96.0
64.224812357,96.0
66.784680213,96.0
69.339994643,96.0
71.900107059,96.0
74.455783514,96.0
77.016104385,96.0
79.571035736,96.0
82.131498904,96.0
84.691516544,96.0
87.246853294,96.0
89.807234456,96.0
92.362246426,96.0
94.922777853,96.0
97.477858439,96.0
100.038501563,96.0
102.593117621,96.0
105.153502471,96.0
107.713852623,96.0
110.269100812,96.0
112.829601653,96.0
115.38443021,96.0
117.944711972,96.0
120.500057967,96.0
123.060657522,96.0
125.621047458,96.0
128.175670265,96.0
130.736038985,96.0
133.291488873,96.0
135.851762355,96.0
138.406933083,96.0
140.966930114,96.0
143.522644186,96.0
146.082853538,96.0
148.643039743,96.0
151.198014674,96.0
153.758270408,96.0
156.314074268,96.0
158.874045493,96.0
161.429268176,96.0
163.989426259,96.0
166.544769365,96.0
169.105290825,96.0
171.665301801,96.0
174.220556937,96.0
176.780647278,96.0
179.336043161,96.0
181.896164669,96.0
184.451616068,96.0
187.011928426,96.0
189.56694043,95.0
192.127480499,95.0
194.687486778,95.0
197.242790623,95.0
199.803055451,95.0
202.358169187,95.0
204.91860371,95.0
207.473553895,95.0
210.033959427,95.0
212.589260006,95.0
215.149374244,95.0
217.70993334,95.0
220.264910419,95.0
222.825342066,95.0
225.380516647,95.0
227.940964611,95.0
230.495935665,95.0
233.056475561,95.0
235.611717878,95.0
238.171871071,95.0
240.732398025,95.0
243.287099564,95.0
245.847399754,95.0
248.402652648,95.0
250.962885474,95.0
253.518217084,95.0
256.078098621,95.0
258.638573563,95.0
261.193967526,95.0
263.754231945,95.0
266.309477228,95.0
268.869277489,95.0
271.425161841,95.0
273.985120095,95.0
276.540485683,95.0
279.100694191,95.0
281.660824657,95.0
284.216247543,95.0
286.776442114,95.0
289.331836705,95.0
291.891979006,95.0
294.447253584,95.0
297.007584611,95.0
299.562565768,95.0
302.122968842,95.0
304.683050233,95.0
305.628514882,95.0
307.2386726,95.0
309.798753558,95.0
312.353896542,95.0
314.914195045,95.0
317.46934027,95.0
320.029805248,95.0
322.584780034,95.0
325.145037103,95.0
327.705427852,95.0
330.260777318,95.0
332.820985153,95.0
335.376059253,95.0
337.936485374,95.0
340.491822861,95.0
343.05227753,95.0
345.607232869,95.0
348.167270114,95.0
350.727631641,95.0
353.282841942,95.0
355.84338917,95.0
358.398181453,95.0
360.958538511,95.0
363.514288624,95.0
366.074685213,95.0
368.62929825,95.0
371.1896463,95.0
373.749815334,95.0
376.305587499,95.0
378.86556237,95.0
381.420649265,95.0
383.980764119,95.0
386.536479056,95.0
389.096727396,95.0
391.65697841,95.0
394.211921837,95.0
396.771986034,95.0
399.327727208,95.0
401.887573371,95.0
404.443033728,95.0
407.003124832,95.0
409.558442078,95.0
412.118853347,95.0
414.678964949,95.0
417.2342476,95.0
419.794402653,95.0
422.349671918,95.0
424.910267473,95.0
427.464846745,95.0
430.025321486,95.0
432.58074811,95.0
435.141078715,95.0
437.701329163,95.0
440.256162993,95.0
442.816465009,95.0
445.371991246,95.0
447.932400914,95.0
450.486899982,95.0
453.047566225,95.0
455.602906222,95.0
458.163208169,95.0
460.723999594,95.0
463.278248363,95.0
465.838756342,95.0
468.394425852,95.0
470.954730749,95.0
473.50958002,95.0
476.069778481,95.0
478.625595511,95.0
481.18535874,95.0
483.745668107,95.0
486.300332546,95.0
488.860741143,95.0
491.41675432,95.0
493.976782041,95.0
496.531745732,95.0
499.09198445,95.0
501.652281821,95.0
504.207755609,95.0
506.767829608,95.0
509.322815251,95.0
511.882831428,95.0
514.438566772,95.0
516.998774305,95.0
519.553848582,95.0
522.114268682,95.0
524.674330988,95.0
527.230212969,95.0
529.7901059,95.0
532.345031253,95.0
534.905315547,95.0
537.46102018,95.0
540.02137726,95.0
542.575977674,95.0
545.136527695,95.0
547.696650083,95.0
550.252370536,95.0
