Time,CAN2_HRW_BS_SpdFtAxleLtWhl_Cval_t0
0.013114786,7.7109375
0.023091953,7.71484375
0.033086806,7.72265625
0.042923407,7.71484375
0.053099093,7.70703125
0.063117871,7.70703125
0.073018113,7.703125
0.08308811,7.69921875
0.093102448,7.6953125
0.103094662,7.70703125
0.113116188,7.73046875
0.123086714,7.75390625
0.133103163,7.7734375
0.142889995,7.78125
0.153147982,7.77734375
0.162920174,7.765625
0.173127377,7.75
0.183112435,7.734375
0.193113241,7.7265625
0.20309908,7.734375
0.213134373,7.7578125
0.22293541,7.7734375
0.233097815,7.77734375
0.242783599,7.78515625
0.252943988,7.79296875
0.262926482,7.78125
0.272924868,7.77734375
0.283114602,7.78125
0.292936655,7.796875
0.303110123,7.81640625
0.313127197,7.81640625
0.323097925,7.8125
0.332941416,7.80859375
0.342803298,7.81640625
0.35294989,7.81640625
0.362936776,7.8125
0.372939567,7.8125
0.383123114,7.828125
0.393122609,7.84765625
0.403119651,7.8515625
0.412937719,7.8515625
0.423100827,7.8515625
0.433125916,7.8515625
0.442804498,7.8515625
0.45313289,7.84765625
0.462917474,7.83984375
0.472942564,7.84765625
0.482916902,7.859375
0.493121745,7.86328125
0.503107692,7.859375
0.513143892,7.859375
0.523111823,7.87109375
0.533120209,7.875
0.543013311,7.875
0.553130246,7.8828125
0.562922579,7.8828125
0.572934981,7.88671875
0.582936788,7.87890625
0.592946347,7.87109375
0.602943466,7.8671875
0.613143106,7.86328125
0.623115616,7.859375
0.633113314,7.8359375
0.64279841,7.8359375
0.652976301,7.85546875
0.662920091,7.8671875
0.672939071,7.8671875
0.68312532,7.86328125
0.692938451,7.86328125
0.703124763,7.85546875
0.713141165,7.8515625
0.723118425,7.8515625
0.733122217,7.859375
0.742920113,7.87890625
0.752948093,7.8828125
0.76292618,7.8671875
0.772949676,7.85546875
0.782954593,7.8671875
0.792914744,7.875
0.80293191,7.87109375
0.812942077,7.8671875
0.822915416,7.8828125
0.83312551,7.89453125
0.842823012,7.89453125
0.853148797,7.8828125
0.86292824,7.8828125
0.872951875,7.8828125
0.883174204,7.890625
0.893143559,7.89453125
0.903138196,7.89453125
0.913146285,7.890625
0.923137375,7.88671875
0.933136277,7.88671875
0.942942737,7.890625
0.952998298,7.90625
0.962961293,7.921875
0.972938084,7.9375
0.983035349,7.9453125
0.99313977,7.953125
1.002938495,7.96875
1.012958194,7.97265625
1.022964957,7.96484375
1.033137441,7.96875
1.042953043,7.9765625
1.053164622,7.96875
1.062943284,7.95703125
1.072937842,7.9453125
1.082953246,7.9453125
1.09294071,7.9453125
1.10314993,7.9453125
1.112957921,7.94921875
1.122943761,7.95703125
1.132961492,7.953125
1.143021942,7.9453125
1.153168942,7.93359375
1.16294012,7.9296875
1.172996821,7.94140625
1.182940941,7.94921875
1.192941749,7.94921875
1.202944855,7.94921875
1.212963446,7.953125
1.222950941,7.9453125
1.232940858,7.9296875
1.242817555,7.92578125
1.253021243,7.9375
1.26291644,7.94140625
1.272926733,7.9375
1.282945886,7.9375
1.29294032,7.9453125
1.302940144,7.953125
1.312960375,7.953125
1.322979356,7.94921875
1.332951977,7.953125
1.342828673,7.95703125
1.352964859,7.9453125
1.362914151,7.9296875
1.372933351,7.921875
1.382955785,7.92578125
1.392945656,7.9375
1.403167955,7.94921875
1.412987868,7.96484375
1.422969645,7.9765625
1.432976938,7.9921875
1.443038295,7.98828125
1.452991384,7.984375
1.462915175,7.98828125
1.472983563,7.99609375
1.482960793,8.0
1.492963086,7.9921875
1.502958113,7.98828125
1.512972375,7.98828125
1.522956575,7.98046875
1.532965258,7.97265625
1.543038303,7.97265625
1.5531866,7.98046875
1.562921183,7.984375
1.572962976,7.9921875
1.58297452,8.0
1.592953765,8.0078125
1.603165174,8.015625
1.612982383,8.0078125
1.622957879,8.00390625
1.632976625,8.01171875
1.64305042,8.015625
1.653003118,8.0078125
1.662917112,8.00390625
1.672935797,8.015625
1.682967528,8.02734375
1.692986993,8.03125
1.703176353,8.03125
1.71301122,8.0390625
1.722973309,8.046875
1.732964649,8.046875
1.743039928,8.05078125
1.753010736,8.05859375
1.762918323,8.0703125
1.772989509,8.0703125
1.782980942,8.06640625
1.792966376,8.06640625
1.803229784,8.06640625
1.812997931,8.06640625
1.823197964,8.0703125
1.83298172,8.0703125
1.842845947,8.07421875
1.853209452,8.08203125
1.862993083,8.08203125
1.872988532,8.08984375
1.882988716,8.109375
1.892973005,8.11328125
1.903210456,8.11328125
1.912979724,8.109375
1.922983013,8.10546875
1.93301474,8.09765625
1.942989075,8.08984375
1.952996724,8.09375
1.962994623,8.1015625
1.972930706,8.10546875
1.98320733,8.1015625
1.99297788,8.08984375
2.003222456,8.08984375
2.013003224,8.09765625
2.022991012,8.09765625
2.032990333,8.09375
2.04317986,8.08984375
2.053211213,8.09765625
2.062997231,8.09765625
2.07298452,8.09765625
2.082981871,8.09765625
2.093005521,8.09765625
2.10319583,8.08984375
2.11300738,8.08203125
2.123002153,8.08203125
2.132993145,8.0859375
2.143075889,8.08984375
2.152991613,8.08203125
2.163000169,8.078125
2.173000051,8.0859375
2.183055091,8.0859375
2.192980879,8.08203125
2.203013591,8.08984375
2.213012645,8.1015625
2.223000794,8.09375
2.232995082,8.08984375
2.243074561,8.0859375
2.253021958,8.08984375
2.263055544,8.09375
2.272927628,8.09765625
2.283010153,8.09765625
2.29299741,8.09375
2.303215986,8.08984375
2.313015254,8.0859375
2.32308631,8.078125
2.333021754,8.078125
2.343059044,8.078125
2.353031926,8.078125
2.362916916,8.0703125
2.372925705,8.078125
2.383043794,8.09375
2.392998081,8.10546875
2.403222626,8.1171875
2.41302502,8.140625
2.423024558,8.15625
2.433012379,8.16015625
2.443057528,8.16015625
2.453019847,8.171875
2.4629474,8.18359375
2.473015988,8.1875
2.48302173,8.18359375
2.49301591,8.1796875
2.503029355,8.1640625
2.513044379,8.1484375
2.523024559,8.15234375
2.533025847,8.16015625
2.543060606,8.16796875
2.553238993,8.15625
2.562924478,8.140625
2.573030565,8.140625
2.583040887,8.13671875
2.593032207,8.14453125
2.603231516,8.15625
2.613032878,8.17578125
2.623020448,8.18359375
2.633017284,8.1796875
2.64307048,8.16796875
2.653056457,8.16015625
2.662929555,8.1640625
2.672940735,8.1640625
2.683039839,8.16796875
2.693032612,8.1640625
2.703235015,8.16015625
2.713044331,8.1484375
2.723043839,8.140625
2.733034769,8.14453125
2.743066558,8.14453125
2.753046346,8.1328125
2.762965931,8.12890625
2.772995017,8.125
2.783043323,8.109375
2.793034487,8.10546875
2.803251531,8.109375
2.813057988,8.12890625
2.823235359,8.14453125
2.833031455,8.15234375
2.843065229,8.15625
2.853265023,8.15234375
2.863042698,8.140625
2.873081191,8.12890625
2.883062027,8.13671875
2.893063771,8.14453125
2.903253427,8.14453125
2.913049417,8.1328125
2.923240213,8.125
2.933053187,8.12109375
2.943268031,8.125
2.953071427,8.125
2.963046515,8.12890625
2.972946695,8.13671875
2.983068145,8.14453125
2.993045874,8.1484375
3.003038072,8.1484375
3.013072896,8.15234375
3.023034655,8.15234375
3.033052573,8.15625
3.043194367,8.16015625
3.053275224,8.16015625
3.06334186,8.16015625
3.073068145,8.15234375
3.08303828,8.14453125
3.093043541,8.15625
3.103256994,8.16015625
3.113069109,8.15625
3.123046071,8.15625
3.133048676,8.16796875
3.14306614,8.171875
3.153083854,8.17578125
3.163060817,8.18359375
3.173071203,8.1953125
3.183056134,8.1953125
3.193047723,8.1953125
3.20325916,8.19140625
3.213293015,8.19921875
3.223064598,8.2109375
3.233058655,8.2109375
3.243066338,8.21484375
3.253096536,8.22265625
3.26293323,8.234375
3.272960116,8.234375
3.283086051,8.234375
3.293059889,8.23828125
3.303059181,8.23828125
3.313084208,8.234375
3.323060514,8.234375
3.33308565,8.23828125
3.343067847,8.24609375
3.353136532,8.24609375
3.362988116,8.24609375
3.372938313,8.25
3.38309103,8.24609375
3.393070493,8.24609375
3.403269727,8.25
3.413121718,8.2578125
3.423056305,8.2578125
3.433069284,8.25390625
3.443089546,8.25390625
3.453311343,8.24609375
3.462936625,8.2421875
3.473083311,8.2421875
3.483078852,8.25390625
3.493079441,8.2578125
3.503279019,8.25390625
3.513318233,8.24609375
3.523075706,8.2578125
3.533084107,8.265625
3.543081462,8.25390625
3.553100613,8.25390625
3.56296623,8.26953125
3.573106931,8.265625
3.583065956,8.26171875
3.593102561,8.26171875
3.603077039,8.265625
3.613314431,8.2734375
3.623067248,8.265625
3.633072476,8.26953125
3.643076956,8.2734375
3.653145953,8.26953125
3.663002741,8.26953125
3.672938937,8.27734375
3.683093748,8.28125
3.693066914,8.28125
3.703285836,8.28125
3.71331005,8.2890625
3.723081289,8.296875
3.733126972,8.296875
3.74306906,8.296875
3.753133556,8.30859375
3.762964938,8.3125
3.772950541,8.31640625
3.783071148,8.3203125
3.793219115,8.3359375
3.803293003,8.33984375
3.813318576,8.34765625
3.823284289,8.359375
3.833100982,8.359375
3.84308657,8.3671875
3.853141145,8.375
3.862965103,8.3828125
3.873104633,8.390625
3.882983078,8.3984375
3.893084214,8.41015625
3.903186398,8.4140625
3.913305331,8.42578125
3.922976348,8.43359375
3.933086359,8.4375
3.943099681,8.44921875
3.95335065,8.453125
3.96310845,8.453125
3.973111225,8.45703125
3.983153,8.46484375
3.993097914,8.47265625
4.003301803,8.484375
4.013332218,8.4921875
4.023098613,8.49609375
4.032977415,8.49609375
4.043246962,8.50390625
4.053320441,8.50390625
4.063146135,8.50390625
4.073100955,8.51171875
4.083092057,8.515625
4.093119942,8.51953125
4.103302955,8.51953125
4.113333527,8.5234375
4.123107156,8.51953125
4.133109602,8.51953125
4.143117346,8.5234375
4.153339235,8.5234375
4.163127302,8.51953125
4.173121717,8.5234375
4.18310046,8.52734375
4.19310575,8.5390625
4.203321467,8.5546875
4.213364008,8.56640625
4.223103417,8.5703125
4.233103442,8.56640625
4.243085138,8.5703125
4.253343122,8.56640625
4.263113016,8.5625
4.273124697,8.5546875
4.283113925,8.5546875
4.2931442,8.5546875
4.303152865,8.55078125
4.31337688,8.546875
4.323189572,8.5546875
4.333149064,8.55859375
4.343086322,8.55859375
4.353333789,8.5625
4.363149106,8.5703125
4.373148585,8.57421875
4.383133625,8.58203125
4.393126211,8.59375
4.403351023,8.59765625
4.413349625,8.59375
4.423272476,8.58984375
4.433132481,8.5859375
4.443088818,8.578125
4.453160313,8.578125
4.4630231,8.578125
4.473030577,8.578125
4.483139011,8.58203125
4.493133255,8.5859375
4.503333159,8.59375
4.513354091,8.6171875
4.523118484,8.625
4.533122118,8.6328125
4.543148206,8.65625
4.553145996,8.671875
4.563050581,8.66015625
4.572993479,8.66015625
4.583125414,8.66796875
4.593148063,8.671875
4.603332686,8.6640625
4.613357992,8.671875
4.623118887,8.6875
4.633125708,8.69921875
4.643076403,8.69921875
4.653141898,8.70703125
4.663127672,8.72265625
4.67313776,8.73046875
4.6831333,8.734375
4.693127543,8.73828125
4.703121193,8.7421875
4.713202266,8.73828125
4.723131149,8.73828125
4.733133751,8.74609375
