Time,CAN2_MCM_C02_EngSpd_Cval_PT_t6,CAN2_MCM_C02_EngTrq_Cval_PT_t6
307.477094803,1425.92,333.40000000000055
307.487086676,1421.6000000000001,333.0
307.497092752,1421.1200000000001,334.0
307.507088485,1419.3600000000001,338.60000000000036
307.517093576,1414.4,342.40000000000055
307.527083715,1412.32,340.2000000000007
307.537090619,1410.88,341.40000000000055
307.5472667,1409.1200000000001,348.40000000000055
307.55708774,1407.3600000000001,351.60000000000036
307.567089426,1405.1200000000001,352.40000000000055
307.577090986,1403.3600000000001,352.40000000000055
307.587092172,1403.3600000000001,351.60000000000036
307.597093139,1401.1200000000001,352.0
307.607089668,1399.04,354.0
307.617093056,1398.4,352.8000000000002
307.627087008,1395.84,353.0
307.637089412,1395.04,353.60000000000036
307.647279087,1395.68,355.2000000000007
307.657091439,1393.44,357.8000000000002
307.667088812,1391.04,356.0
307.677091888,1391.04,352.40000000000055
307.687090152,1391.04,353.0
307.697094119,1391.3600000000001,354.40000000000055
307.707090445,1389.44,354.2000000000007
307.717091052,1388.32,353.0
307.727090988,1389.6000000000001,350.40000000000055
307.737095001,1389.1200000000001,349.8000000000002
307.747094062,1386.56,349.40000000000055
307.757092216,1387.68,346.60000000000036
307.767089511,1388.16,345.8000000000002
307.777094272,1386.08,346.60000000000036
307.787091534,1387.04,344.40000000000055
307.797094203,1386.88,342.60000000000036
307.807015822,1386.56,342.8000000000002
307.817092726,1386.88,340.40000000000055
307.827098769,1386.4,340.2000000000007
307.837092874,1387.04,340.8000000000002
307.847090542,1388.16,339.0
307.857093695,1386.4,338.0
307.867094269,1386.4,336.40000000000055
307.877096843,1387.84,335.0
307.887089401,1387.68,333.8000000000002
307.897097475,1387.84,333.8000000000002
307.907101393,1389.6000000000001,333.60000000000036
307.917098796,1388.8,333.0
307.927107229,1389.1200000000001,330.8000000000002
307.937096913,1390.4,328.8000000000002
307.947105205,1390.88,328.60000000000036
307.957092748,1391.04,328.40000000000055
307.967097651,1390.56,327.2000000000007
307.977089209,1390.56,326.40000000000055
307.987103877,1393.6000000000001,326.60000000000036
307.997097545,1393.92,327.0
308.007110261,1392.16,326.60000000000036
308.017094256,1393.1200000000001,325.2000000000007
308.027097002,1394.08,324.8000000000002
308.037097904,1393.6000000000001,324.8000000000002
308.047096884,1393.44,324.0
308.057097224,1393.6000000000001,324.0
308.067099205,1394.56,324.40000000000055
308.077096889,1395.68,324.8000000000002
308.087097947,1395.04,325.40000000000055
308.097097006,1396.16,325.0
308.107099127,1397.44,324.60000000000036
308.117098717,1395.3600000000001,324.8000000000002
308.127097088,1395.3600000000001,324.8000000000002
308.13709349,1397.1200000000001,324.60000000000036
308.147095548,1396.16,325.40000000000055
308.157092888,1396.32,325.40000000000055
308.167091587,1397.6000000000001,325.40000000000055
308.177095755,1396.8,326.2000000000007
308.187096814,1397.1200000000001,326.2000000000007
308.197096981,1397.1200000000001,326.2000000000007
308.20709754,1396.8,327.0
308.217100083,1398.4,327.2000000000007
308.227098673,1396.8,327.60000000000036
308.237092356,1397.44,328.0
308.247094821,1399.3600000000001,328.40000000000055
308.257098145,1398.56,328.8000000000002
308.267095047,1396.64,329.0
308.277091215,1397.92,329.0
308.287117384,1398.4,329.8000000000002
308.297096457,1397.6000000000001,330.60000000000036
308.307095312,1397.44,331.0
308.317093449,1396.8,331.60000000000036
308.327118743,1397.6000000000001,332.60000000000036
308.337094316,1397.92,333.40000000000055
308.347093484,1395.84,334.2000000000007
308.357093621,1396.32,334.8000000000002
308.367093524,1397.6000000000001,335.40000000000055
308.377094192,1395.84,336.40000000000055
308.38709336,1396.8,337.0
308.397096418,1397.6000000000001,337.60000000000036
308.407090977,1397.44,338.40000000000055
308.41709791,1398.4,338.8000000000002
308.427096109,1399.68,339.2000000000007
308.437160184,1400.64,339.8000000000002
308.447100867,1401.6000000000001,340.0
308.457102488,1400.8,340.2000000000007
308.467099187,1400.8,340.60000000000036
308.477102855,1402.4,340.8000000000002
308.487100726,1401.6000000000001,341.40000000000055
308.497096284,1402.4,341.60000000000036
308.507092249,1405.1200000000001,341.8000000000002
308.517098979,1405.1200000000001,342.2000000000007
308.527091366,1404.64,342.40000000000055
308.537093159,1406.88,342.40000000000055
308.547096733,1406.08,342.60000000000036
308.557092948,1406.08,343.0
308.567093163,1405.1200000000001,342.8000000000002
308.577087424,1405.6000000000001,343.2000000000007
308.587093295,1408.16,343.40000000000055
