Time,CAN2_TCM_C03_InShaftSpd_Cval_PT_t5
0.015489375,1136.48
0.025681235,1146.08
0.035462458,1124.0
0.045494314,1145.6000000000001
0.055477793,1136.48
0.065551523,1149.28
0.075454251,1151.68
0.085503481,1136.48
0.09548821,1156.0
0.105543691,1136.8
0.115505544,1153.6000000000001
0.125721154,1141.1200000000001
0.135495627,1150.4
0.145510232,1158.56
0.155490695,1147.3600000000001
0.165541441,1160.96
0.175493904,1138.08
0.185509274,1159.68
0.195489988,1150.4
0.205543484,1160.96
0.215549947,1158.56
0.225705196,1150.88
0.235473529,1161.6000000000001
0.245506884,1148.48
0.255519239,1164.96
0.265526843,1169.28
0.275499822,1162.24
0.285502301,1170.56
0.295503905,1152.0
0.305552886,1169.28
0.31554974,1170.56
0.325709348,1171.84
0.335463072,1177.1200000000001
0.345523552,1166.56
0.355532532,1170.88
0.365532636,1160.96
0.375498114,1176.16
0.38551697,1186.24
0.395729329,1171.84
0.405551678,1187.3600000000001
0.415534783,1166.24
0.425737767,1182.72
0.435500366,1184.64
0.445523329,1185.44
0.455531324,1188.64
0.465529788,1172.96
0.475504016,1189.76
0.485499996,1181.1200000000001
0.4955181,1193.44
0.505548831,1198.72
0.515530685,1186.24
0.525726309,1194.72
0.535505143,1187.3600000000001
0.545510122,1197.92
0.555530226,1201.92
0.565549832,1184.64
0.575541935,1202.72
0.585527665,1191.3600000000001
0.595541144,1203.52
0.605569374,1208.64
0.615565979,1193.44
0.625716461,1207.52
0.63550906,1195.3600000000001
0.645544166,1203.52
0.65557302,1206.72
0.665550375,1192.64
0.675526087,1209.6000000000001
0.685517457,1200.64
0.695520796,1206.24
0.705550791,1215.52
0.715542755,1200.0
0.72575688,1206.24
0.735530964,1201.92
0.745545943,1212.32
0.755536796,1217.92
0.765547527,1196.0
0.77552788,1210.72
0.785527109,1208.64
0.795528839,1213.1200000000001
0.805935219,1215.52
0.815590549,1203.52
0.825767798,1212.32
0.83550588,1216.32
0.845556986,1213.1200000000001
0.855543965,1214.24
0.865552944,1196.0
0.875520923,1208.64
0.885550153,1217.1200000000001
0.895546259,1210.72
0.90559174,1217.92
0.915549719,1201.92
0.925778206,1218.4
0.935562681,1215.2
0.945564771,1212.32
0.955564517,1219.2
0.965587108,1199.52
0.975541602,1215.52
0.985544942,1218.4
0.995542048,1210.24
1.005579529,1220.0
1.015595509,1200.64
1.025739009,1218.4
1.035510093,1226.08
1.045562951,1204.0
1.055537305,1215.2
1.065597412,1215.52
1.075552267,1220.0
1.085574372,1223.2
1.095555352,1206.24
1.105599084,1218.4
1.115599814,1220.48
1.125770675,1222.72
1.13555665,1227.52
1.145600256,1213.1200000000001
1.155550611,1228.48
1.165600842,1231.2
1.175555321,1221.1200000000001
1.185569052,1231.2
1.195546642,1213.6000000000001
1.205602264,1231.2
1.21561912,1231.68
1.225574974,1222.72
1.235547813,1237.6000000000001
1.245575435,1234.08
1.2555604,1230.4
1.265581256,1241.6000000000001
1.275537736,1224.8
1.285563091,1244.48
1.295557071,1247.68
1.305587303,1245.28
1.315568033,1242.4
1.325756158,1224.0
1.335550118,1243.3600000000001
1.345578974,1252.16
1.35556108,1231.2
1.365590936,1244.0
1.375559415,1249.6000000000001
1.385564271,1239.68
1.395565752,1251.3600000000001
1.405597232,1232.48
1.415595463,1254.88
1.425764698,1253.28
1.435569049,1238.72
1.445595155,1248.48
1.45558326,1240.96
1.465597991,1248.96
1.475560095,1253.28
1.485575311,1238.08
1.495575557,1248.48
1.505604023,1249.6000000000001
1.515584393,1241.6000000000001
1.525775378,1252.16
1.535578338,1252.48
1.545598069,1252.16
1.555578799,1257.76
1.56559353,1247.68
1.57557251,1256.96
1.585578491,1262.88
1.595608472,1247.68
1.605603827,1253.28
1.615603683,1250.56
1.625779792,1254.24
1.635599018,1256.96
1.645604249,1240.96
1.655602854,1251.3600000000001
1.66559846,1259.3600000000001
1.675586315,1240.48
1.68558492,1248.48
1.695586151,1261.28
1.705636883,1253.28
1.715606487,1254.24
1.725779972,1234.4
1.735565557,1258.56
1.745494785,1256.96
1.755591893,1243.3600000000001
1.76563714,1256.48
1.775590229,1256.48
1.785589475,1254.24
1.795598441,1257.76
1.806000447,1246.88
1.815635778,1259.3600000000001
1.825790528,1267.3600000000001
