Time,CAN2_CPC_C12_HiResAccelPdlPosn_Cval_t7
0.016537417,51.552
0.026541709,51.548
0.036539001,51.548
0.046527292,51.552
0.056542288,51.552
0.06655158,51.548
0.076538261,51.548
0.086534959,51.548
0.096545251,51.548
0.10653773,51.556000000000004
0.116546022,51.552
0.12655622,51.548
0.136546606,51.548
0.146538695,51.548
0.15653569,51.548
0.166663469,51.548
0.17666687,51.552
0.186667256,51.548
0.196544044,51.556000000000004
0.206670042,51.562
0.216549924,51.556000000000004
0.226671219,51.552
0.236536508,51.548
0.246669397,51.552
0.256547795,51.556000000000004
0.266537384,51.552
0.276546363,51.548
0.286538357,51.552
0.296548947,51.548
0.306539441,51.548
0.316549733,51.548
0.326550415,51.552
0.336548613,51.552
0.346535593,51.556000000000004
0.356550588,51.556000000000004
0.366537177,51.552
0.376547672,51.548
0.386548557,51.552
0.396555349,51.548
0.40653664,51.556000000000004
0.416549839,51.552
0.426547317,51.548
0.436536406,51.552
0.446538292,51.548
0.456552287,51.552
0.466538782,51.548
0.476534074,51.548
0.486524052,51.548
0.496549642,51.552
0.506538339,51.556000000000004
0.516548726,51.562
0.526540313,51.566
0.536547105,51.57
0.5465416,51.57
0.556546783,51.574
0.566536387,51.57
0.576549476,51.566
0.586536658,51.566
0.596554653,51.574
0.606539335,51.574
0.616551034,51.574
0.626542512,51.574
0.636539117,51.57
0.646536705,51.57
0.656551997,51.566
0.666535383,51.566
0.676696179,51.574
0.686698064,51.574
0.696695355,51.57
0.706538847,51.574
0.716699236,51.578
0.726557431,51.578
0.736698007,51.574
0.746538498,51.578
0.756702388,51.582
0.766537082,51.588
0.776548874,51.588
0.786536166,51.588
0.796679054,51.588
0.806576843,51.592
0.816553041,51.592
0.826556318,51.592
0.836547906,51.588
0.846554308,51.582
0.856676195,51.588
0.866545484,51.582
0.876547979,51.592
0.886536662,51.592
0.896565955,51.592
0.906537747,51.592
0.916680435,51.592
0.926657024,51.596000000000004
0.936547721,51.596000000000004
0.94653631,51.592
0.95654951,51.588
0.966539099,51.582
0.976678286,51.582
0.986535982,51.588
0.996551073,51.582
1.006539052,51.582
1.016549049,51.588
1.026554545,51.588
1.036682825,51.582
1.046537428,51.588
1.056550814,51.588
1.066546404,51.582
1.076552306,51.582
1.086542896,51.582
1.096686084,51.582
1.106539076,51.592
1.116548869,51.588
1.126562162,51.588
1.136549158,51.592
1.146538748,51.588
1.156685826,51.588
1.166540818,51.582
1.176547814,51.588
1.186722612,51.588
1.196722702,51.582
1.206725792,51.582
1.21654858,51.588
1.226724268,51.582
1.236556869,51.582
1.246725947,51.582
1.256549939,51.588
1.266724237,51.592
1.276549728,51.588
1.286734214,51.582
1.296549612,51.582
1.306539311,51.582
1.316550088,51.582
1.326579179,51.582
1.336548674,51.588
1.346544467,51.582
1.356549057,51.592
1.366562444,51.588
1.37655044,51.582
1.386537232,51.582
1.396550729,51.582
1.40656421,51.582
1.416547518,51.578
1.426556202,51.57
1.436549588,51.566
1.446538194,51.566
1.456547283,51.566
1.466537967,51.552
1.476546557,51.536
1.486534849,51.522
1.49654705,51.506
1.50653953,51.484
1.516546932,51.47
1.526583414,51.462
1.536546815,51.446
1.546536592,51.424
1.556548791,51.406
1.566538084,51.39
1.576547081,51.372
1.586536467,51.354
1.596551464,51.334
1.60653935,51.316
1.616554237,51.286
1.626559342,51.26
1.636551026,51.244
1.646536709,51.222
1.656554909,51.196
1.666539998,51.174
1.676553292,51.162
1.686535381,51.14
1.69674407,51.126
1.706749863,51.114000000000004
1.716743453,51.096000000000004
1.72655496,51.08
1.736749148,51.066
1.746523327,51.050000000000004
1.756745421,51.032000000000004
1.766538115,51.024
1.776752711,51.01
1.786535498,51.002
1.796550495,50.99
1.806643587,50.980000000000004
1.816551768,50.972
1.826558061,50.96
1.836551667,50.95
1.846554757,50.946
1.856549238,50.938
1.866539826,50.934000000000005
1.876548527,50.93
1.886536317,50.92
1.896566498,50.916000000000004
1.906536599,50.912
1.916559373,50.908
1.926673868,50.898
1.93654895,50.894
1.94653613,50.886
1.956549529,50.882
1.966539411,50.878
1.976556701,50.868
1.986539693,50.864000000000004
1.996549778,50.86
2.006537864,50.852000000000004
2.016552545,50.848
2.026556537,50.848
2.036553825,50.844
2.046534521,50.844
2.056555403,50.844
2.06654488,50.844
2.076551184,50.844
2.08653716,50.844
2.096547653,50.844
2.10654163,50.844
2.116550622,50.848
2.126556114,50.844
2.136547903,50.844
2.146540192,50.844
2.156549277,50.844
2.166540957,50.844
2.176549544,50.844
2.186538332,50.844
2.196556028,50.856
2.206536207,50.852000000000004
2.216551402,50.848
2.226554692,50.856
2.236552575,50.852000000000004
2.246539864,50.848
2.256547652,50.844
2.266537348,50.844
2.27654923,50.844
2.286536113,50.844
2.296551293,50.848
2.306538894,50.844
2.31654298,50.848
2.326557363,50.844
2.336552355,50.848
2.346536441,50.844
2.35654862,50.848
2.366539706,50.848
2.376551699,50.848
2.386538191,50.848
2.39655048,50.844
2.406566567,50.844
2.416548651,50.856
2.426557144,50.852000000000004
2.43654923,50.852000000000004
2.446536315,50.848
2.456549402,50.844
2.466540284,50.848
2.476548979,50.844
2.486537065,50.844
2.496544557,50.848
2.506538143,50.848
2.516542433,50.848
2.526554222,50.844
2.536552104,50.844
2.546536393,50.844
2.556548682,50.844
2.566536768,50.844
2.576548667,50.848
2.586535252,50.856
2.596541339,50.852000000000004
2.606536018,50.86
2.616543104,50.852000000000004
2.6265593,50.848
2.636551182,50.844
2.646537377,50.848
2.656552667,50.844
2.666538955,50.848
2.676558244,50.856
2.686537221,50.856
2.696549416,50.852000000000004
2.706538205,50.848
2.716549682,50.844
2.726556674,50.848
2.73653976,50.844
2.746536346,50.844
2.756542041,50.844
2.76653633,50.856
2.776541915,50.864000000000004
2.786537907,50.86
2.796549588,50.852000000000004
2.80667888,50.852000000000004
2.816547259,50.852000000000004
2.826563955,50.848
2.83654004,50.844
2.846555033,50.856
2.856540212,50.856
2.866538314,50.852000000000004
2.87653929,50.86
2.88653558,50.852000000000004
2.896556669,50.852000000000004
2.906537366,50.848
2.916546346,50.856
2.92657045,50.852000000000004
2.936541039,50.852000000000004
2.94653722,50.848
2.956550606,50.856
2.966535804,50.864000000000004
2.97654269,50.864000000000004
2.986535684,50.874
2.996541272,50.882
3.006536674,50.898
3.016542262,50.912
3.026557039,50.924
3.036548845,50.938
3.046537028,50.964
3.056545929,50.99
3.066544517,51.016
3.076546105,51.062
3.086536491,51.088
3.096542189,51.126
3.106540777,51.174
3.116541459,51.226
3.126557861,51.278
