Time,CAN2_TCM_C08_CurrGr_Stat_PT_t4
0.015930902,1.0
0.035908485,1.0
0.05593132,1.0
0.075898777,1.0
0.095956737,1.0
0.115959071,1.0
0.135961155,1.0
0.155947237,1.0
0.175966947,1.0
0.19595703,1.0
0.21599149,1.0
0.235943556,1.0
0.255971265,1.0
0.275974349,1.0
0.295969432,1.0
0.315992767,1.0
0.335963099,1.0
0.355983058,1.0
0.375977142,1.0
0.396203856,1.0
0.415985309,1.0
0.435947877,1.0
0.456007336,1.0
0.475947043,1.0
0.495995628,1.0
0.515972211,1.0
0.53598417,1.0
0.555971753,1.0
0.575986462,1.0
0.595981171,1.0
0.616004504,1.0
0.635950587,1.0
0.656050548,1.0
0.67597213,1.0
0.695966838,1.0
0.715985797,1.0
0.73598149,1.0
0.755979823,1.0
0.776027908,1.0
0.795977865,1.0
0.816033575,1.0
0.836007408,1.0
0.855986992,1.0
0.875969949,1.0
0.896023786,1.0
0.916015247,1.0
0.936008708,1.0
0.956015028,1.0
0.976014614,1.0
0.995998574,1.0
1.016038536,1.0
1.035998121,1.0
1.055995332,1.0
1.076014793,1.0
1.096016379,1.0
1.116044341,1.0
1.136022177,1.0
1.156005637,1.0
1.176023848,1.0
1.196021185,1.0
1.216059147,1.0
1.236023856,1.0
1.256042443,1.0
1.275994262,1.0
1.296004598,1.0
1.31601106,1.0
1.335993144,1.0
1.356008606,1.0
1.376036943,1.0
1.396031279,1.0
1.41604899,1.0
1.436042076,1.0
1.456023286,1.0
1.476003106,1.0
1.496018568,1.0
1.516030404,1.0
1.536021364,1.0
1.556021825,1.0
1.576023037,1.0
1.596067999,1.0
1.616054209,1.0
1.636052545,1.0
1.656056381,1.0
1.676056343,1.0
1.696035177,1.0
1.716078014,1.0
1.736020599,1.0
1.756033436,1.0
1.776064772,1.0
1.796056483,1.0
1.81607732,1.0
1.836057639,1.0
1.856056725,1.0
1.876056061,1.0
1.896066267,1.0
1.916066845,1.0
1.936099924,1.0
1.956064501,1.0
1.976076204,1.0
1.996067782,1.0
2.016078111,1.0
2.036070298,1.0
2.056082377,1.0
2.076075204,1.0
2.096088157,1.0
2.116100111,1.0
2.136043438,1.0
2.156058266,1.0
2.176046594,1.0
2.196081548,1.0
2.216085876,1.0
2.236090079,1.0
2.256070156,1.0
2.276053734,1.0
2.296069313,1.0
2.316116516,1.0
2.336070343,1.0
2.356066656,1.0
2.376068234,1.0
2.396287458,1.0
2.41609664,1.0
2.436086718,1.0
2.456091422,1.0
2.47607,1.0
2.496109078,1.0
2.516108406,1.0
2.536076109,1.0
2.556075687,1.0
2.576083124,1.0
2.596123829,1.0
2.616118156,1.0
2.636097734,1.0
2.656109687,1.0
2.676101765,1.0
2.696106468,1.0
2.716102171,1.0
2.736108749,1.0
2.756114078,1.0
2.776110905,1.0
2.796102108,1.0
2.816150812,1.0
2.836118015,1.0
2.856127217,1.0
2.876135296,1.0
2.896130002,1.0
2.916125836,1.0
2.936152044,1.0
2.95608961,1.0
2.976120694,1.0
2.996108777,1.0
3.016147237,1.0
3.036122319,1.0
3.056147903,1.0
3.076109111,1.0
3.096115694,1.0
3.116124027,1.0
3.13611886,1.0
3.156109803,1.0
3.176125261,1.0
3.196122845,1.0
3.216177055,1.0
3.236135636,1.0
3.25615672,1.0
3.276138678,1.0
3.296151262,1.0
3.316145095,1.0
3.336071301,1.0
3.356138261,1.0
3.376116844,1.0
3.396131802,1.0
3.416130136,1.0
3.436102969,1.0
3.456151053,1.0
3.476149386,1.0
3.496162095,1.0
3.516146412,1.0
3.536158245,1.0
3.556150579,1.0
3.576168412,1.0
3.596161495,1.0
3.616178704,1.0
3.636155912,1.0
3.65617362,1.0
3.676176453,1.0
3.696170787,1.0
3.71617462,1.0
3.736158953,1.0
3.756162286,1.0
3.776398,1.0
3.796146937,1.0
3.816198147,1.0
3.836140604,1.0
3.856147561,1.0
3.876164645,1.0
3.896163977,1.0
3.916163933,1.0
3.936174638,1.0
3.956145343,1.0
3.976166799,1.0
3.996172755,1.0
4.016161709,1.0
4.036185415,1.0
4.056388626,1.0
4.076137326,1.0
4.096196532,1.0
4.116179362,1.0
4.136152176,1.0
4.156200024,1.0
4.176193714,1.0
4.196204794,1.0
4.216177499,1.0
4.236163829,1.0
4.25617091,1.0
4.27617274,1.0
4.296207321,1.0
4.316212527,1.0
4.336158981,1.0
4.356202312,1.0
4.376207143,1.0
4.396213349,1.0
4.416436185,1.0
4.436212619,1.0
4.456393594,1.0
4.4764048,1.0
4.496418756,1.0
4.516407711,1.0
4.536367526,1.0
4.556221227,1.0
4.576229058,1.0
