Time,CAN2_MCM_C02_EngSpd_Cval_PT_t6
0.009873676,1138.56
0.019859529,1140.0
0.029874275,1140.48
0.039892411,1140.8
0.049872952,1141.6000000000001
0.059866291,1141.28
0.070006742,1142.56
0.079858874,1145.28
0.089877822,1146.56
0.099865677,1146.08
0.109883812,1146.24
0.119866557,1147.84
0.129884302,1148.32
0.139871438,1148.8
0.149912886,1149.28
0.15987163,1149.6000000000001
0.169881672,1150.72
0.17987923,1152.96
0.189887162,1154.56
0.199868907,1155.04
0.209890152,1156.48
0.219915492,1157.76
0.229883845,1158.72
0.239883887,1158.08
0.249883132,1158.08
0.259876267,1159.52
0.269924311,1160.48
0.279873257,1162.24
0.2898908,1164.32
0.29987684,1164.8
0.309890492,1165.28
0.31987933,1167.84
0.329932983,1169.1200000000001
0.339884024,1169.28
0.349890769,1169.28
0.359904514,1170.24
0.369890352,1171.52
0.379878596,1173.76
0.389892936,1176.48
0.39988468,1177.76
0.409920239,1178.08
0.419882373,1178.72
0.429894915,1180.48
0.439889754,1181.76
0.449898999,1182.56
0.459912447,1183.3600000000001
0.469899489,1183.3600000000001
0.479881437,1184.32
0.489902979,1187.52
0.49988352,1189.28
0.509902469,1189.28
0.519887307,1190.24
0.529901349,1192.48
0.539893,1192.8
0.549897745,1193.1200000000001
0.559891787,1194.56
0.569900032,1195.04
0.57991787,1196.48
0.589911022,1198.56
0.599927564,1199.04
0.609913902,1200.0
0.619892646,1201.6000000000001
0.629908095,1202.24
0.639898527,1201.76
0.649905085,1201.28
0.659899923,1202.56
0.669905262,1203.04
0.679893507,1203.3600000000001
0.689910455,1204.32
0.6998957,1205.6000000000001
0.709913445,1205.76
0.719898284,1206.08
0.729914029,1207.3600000000001
0.739901367,1207.04
0.749909722,1207.3600000000001
0.759903356,1208.0
0.769910009,1207.3600000000001
0.779926754,1208.0
0.789915498,1210.88
0.799904227,1211.52
0.809920378,1210.56
0.819904123,1210.08
0.829917571,1210.56
0.83990652,1211.3600000000001
0.849916655,1211.3600000000001
0.8599109,1210.88
0.869937645,1209.76
0.87992389,1210.56
0.889923026,1212.48
0.899908881,1213.28
0.909920019,1212.32
0.919908061,1212.48
0.929926605,1213.76
0.93991646,1212.8
0.949942003,1212.0
0.959934952,1213.28
0.969922292,1213.6000000000001
0.980000149,1213.76
0.989920877,1214.88
0.99990892,1215.04
1.009928667,1215.84
1.019940116,1216.8
1.029927862,1217.1200000000001
1.039919202,1216.32
1.049929651,1216.48
1.059916804,1217.1200000000001
1.069928143,1217.28
1.079938687,1217.76
1.089933824,1219.52
1.099917975,1220.64
1.109934628,1220.0
1.119923468,1221.28
1.129951715,1222.56
1.139925054,1222.88
1.149930894,1223.04
1.159922843,1223.84
1.169974997,1223.84
1.179920741,1226.08
1.189937972,1228.0
1.199924625,1228.32
1.209944371,1228.32
1.21993682,1229.6000000000001
1.229939863,1230.88
1.239928202,1231.52
1.249938152,1232.64
1.259933898,1233.28
1.269942441,1234.56
1.279925594,1235.52
1.289942636,1236.64
1.299925976,1237.28
1.309942816,1238.56
1.319959172,1239.84
1.329943715,1239.52
1.339933554,1239.52
1.349944707,1242.24
1.359937547,1243.04
1.369946184,1243.3600000000001
1.379932336,1244.8
1.389944582,1245.6000000000001
1.399937125,1246.08
1.409970481,1246.88
1.419940117,1247.3600000000001
1.429974254,1247.3600000000001
1.439942,1247.52
1.449969356,1247.84
1.459940305,1246.88
1.469967646,1247.52
1.479941984,1248.64
1.48995573,1248.64
1.499936383,1247.84
1.50995613,1248.64
1.519940968,1249.76
1.529962512,1249.28
1.539946649,1249.6000000000001
1.549952801,1249.6000000000001
1.55994775,1250.08
1.569952793,1251.52
1.579942445,1252.32
1.58995588,1251.3600000000001
1.599944031,1251.52
1.609960466,1252.32
1.619945321,1251.3600000000001
1.629981959,1251.52
1.639949407,1252.32
1.649979951,1251.04
1.659949399,1250.88
1.669980239,1251.52
1.679947188,1252.64
1.689981731,1252.64
1.699950477,1252.8
1.709986428,1252.32
1.719953063,1251.84
1.729967012,1252.32
1.739955555,1253.28
1.749963504,1252.32
1.759961344,1253.76
1.769967794,1255.04
1.779953133,1254.56
1.789968583,1255.3600000000001
1.799991736,1257.1200000000001
1.809974169,1257.1200000000001
1.819961415,1256.8
1.829974865,1257.6000000000001
1.839962501,1257.76
1.849972654,1260.0
1.859968494,1262.4
1.869974052,1262.4
1.879959392,1262.08
1.889973729,1263.04
1.899981378,1264.32
1.909977307,1264.8
1.919963956,1265.1200000000001
1.930021495,1266.56
1.939973236,1266.88
1.949977869,1268.32
1.959972517,1270.4
1.969982557,1270.88
1.979965799,1271.52
1.989980041,1272.64
1.999987189,1271.84
2.009985917,1273.28
2.019972158,1275.04
2.029986604,1275.04
2.040013753,1275.3600000000001
2.049983697,1277.6000000000001
2.05997383,1278.88
2.069983572,1278.88
2.079970517,1279.3600000000001
2.090009057,1279.84
2.099970001,1279.52
2.109989744,1280.0
2.119976174,1280.64
2.129993712,1281.1200000000001
2.139989751,1282.88
2.149986401,1283.52
2.159981236,1282.08
2.169987385,1282.4
2.180024424,1284.16
2.189992259,1283.3600000000001
2.199996408,1282.56
2.209995244,1282.88
2.219979095,1282.4
2.229995728,1283.84
2.23998397,1284.8
2.249994009,1284.32
2.260012658,1284.16
2.269992993,1284.16
2.279982141,1283.84
2.289999572,1283.3600000000001
2.29998122,1284.16
2.309999462,1283.3600000000001
2.320494279,1282.88
2.330023947,1284.64
2.339988282,1285.6000000000001
2.349998119,1284.32
2.359989767,1283.52
2.369998399,1283.3600000000001
2.380016049,1282.4
2.389998587,1283.04
2.399989329,1282.88
2.410004165,1282.4
2.41999372,1283.84
2.430006759,1284.64
2.440016595,1284.16
2.45000204,1284.32
2.459994875,1285.28
2.470001525,1284.64
2.479992359,1283.52
2.490007493,1283.84
2.500011938,1284.8
2.510026681,1285.28
2.519998016,1286.08
2.530012759,1285.76
2.540003001,1285.76
2.550008243,1287.3600000000001
2.560000188,1287.52
2.57000843,1286.56
2.580017564,1287.84
2.590034118,1287.84
2.60000125,1288.8
2.610017102,1291.3600000000001
2.620006235,1292.16
2.630020867,1292.16
2.640008109,1292.64
2.650015055,1292.8
2.660005593,1293.6000000000001
2.670019649,1294.88
2.680007578,1295.3600000000001
2.690018117,1295.04
2.700004765,1296.64
2.710025305,1298.56
2.720014954,1298.56
2.730027789,1298.56
2.740012422,1299.84
2.75002457,1299.52
2.760015015,1300.16
2.770185058,1301.76
2.780021797,1302.4
2.790029336,1304.16
2.800011875,1305.6000000000001
2.810036008,1305.28
2.82001675,1306.88
2.830036696,1308.16
2.840019937,1306.88
2.850031383,1306.56
2.860020922,1307.52
2.870069962,1308.32
2.88004311,1308.8
2.890055448,1309.6000000000001
2.900021488,1309.76
2.91003664,1309.28
2.920024477,1310.08
2.930043113,1310.4
2.940026764,1309.76
2.950041916,1310.4
2.96002605,1309.76
2.970061499,1310.4
2.98004454,1312.8
2.990039082,1312.8
3.000022123,1311.52
3.010046275,1311.52
3.020026316,1311.84
3.030044155,1312.16
3.040035712,1312.64
3.050043254,1311.3600000000001
3.060528651,1311.3600000000001
3.070056728,1312.64
3.080022472,1312.8
3.090045921,1311.84
3.100024571,1312.64
3.110045816,1312.8
3.120031748,1311.3600000000001
3.1300509,1311.52
3.140032237,1312.64
3.150068093,1312.64
3.160040337,1313.28
3.170049269,1313.28
3.180031216,1313.6000000000001
3.190051461,1314.08
3.2000318,1314.4
3.210056155,1313.28
3.220057696,1314.56
3.230055034,1314.88
3.240039076,1314.88
3.250050524,1316.16
3.260040659,1317.1200000000001
3.270049216,1316.64
3.280062555,1316.32
3.290057503,1317.6000000000001
3.300048139,1318.4
3.310060681,1318.88
3.320040628,1319.3600000000001
3.330083468,1319.04
3.340045117,1321.28
3.350057863,1323.52
3.360047701,1323.04
3.370059242,1323.3600000000001
3.380072191,1324.8
3.390057732,1325.1200000000001
