Time,CAN1_TCM_TST_MSG_112_70h_tmpCltActTC_t9
626.098210384,75.0
628.658297921,75.0
631.213845097,75.0
633.773842491,75.0
636.334055304,75.0
638.888970311,75.0
641.449091797,75.0
644.004654796,80.0
646.564786116,97.0
649.119864846,116.0
651.679782103,134.0
654.235382791,152.0
656.795205938,157.0
659.355359294,157.0
661.91087703,157.0
664.470886039,156.0
667.026199666,156.0
669.586156045,156.0
672.141293862,157.0
674.701519745,158.0
677.256735319,165.0
679.817076875,174.0
682.377012094,186.0
684.932327776,200.0
687.492231426,200.0
690.047754886,200.0
692.608443873,200.0
695.162706733,200.0
697.72309995,200.0
700.27814268,200.0
702.838347347,200.0
705.398359578,200.0
707.95399856,200.0
710.513985264,200.0
713.069263147,200.0
715.629693273,200.0
718.184260798,200.0
720.74444965,200.0
723.299550794,200.0
725.859888422,200.0
728.420306294,200.0
