Time,CAN2_TCM_C02_Clutch_Cval_PT_t3
0.010520708,0.0
0.020500561,0.0
0.03051529,0.0
0.040542505,0.0
0.050513999,0.0
0.060513338,0.0
0.070646211,0.0
0.080508922,0.0
0.090524792,0.0
0.100511255,0.0
0.11052636,0.0
0.120510588,0.0
0.130529943,0.0
0.140517031,0.0
0.150557027,0.0
0.160512631,0.4
0.170530235,0.0
0.180521714,0.0
0.190531194,0.0
0.200514423,0.0
0.210543277,0.0
0.220559508,0.0
0.230527861,0.0
0.240530841,0.0
0.250528679,0.0
0.260520408,0.0
0.270566888,0.0
0.280518882,0.0
0.290533346,0.0
0.30052245,0.0
0.310533055,0.0
0.320523425,0.0
0.330581514,0.0
0.340526618,0.0
0.350533347,0.0
0.360550076,0.4
0.370534306,0.4
0.380524159,0.0
0.390538514,0.0
0.400528743,0.0
0.410561348,0.0
0.420526436,0.0
0.430540556,0.0
0.440535285,0.0
0.45054614,0.0
0.460557994,0.0
0.470537599,0.4
0.480526952,0.0
0.490547057,0.0
0.500523036,0.0
0.510545016,0.0
0.520532869,0.0
0.530540943,0.0
0.540532578,0.0
0.550541792,0.0
0.560534396,0.0
0.570548516,0.0
0.58055598,0.0
0.590556584,0.0
0.600567189,0.0
0.610557918,0.0
0.620535272,0.0
0.630550627,0.0
0.640538105,0.0
0.650550585,0.0
0.660543939,0.0
0.670549418,0.0
0.680534523,0.0
0.690553002,0.0
0.700542732,0.0
0.710557586,0.0
0.720545315,0.0
0.730559654,0.0
0.740540898,0.0
0.750555252,0.0
0.760547357,0.4
0.770552586,0.4
0.780570801,0.0
0.790556529,0.0
0.800548384,0.0
0.810565879,0.0
0.820543733,0.4
0.830558572,0.0
0.840549066,0.0
0.850557656,0.0
0.860552009,0.4
0.870580114,0.0
0.880567969,0.0
0.890565573,0.0
0.900548428,0.0
0.910561034,0.0
0.920552139,0.0
0.930567746,0.0
0.940560476,0.0
0.950584581,0.0
0.960574437,0.0
0.970564917,0.4
0.980639649,0.0
0.990562003,0.0
1.000552968,0.0
1.010574215,0.0
1.020581179,0.0
1.030570425,0.0
1.040564765,0.0
1.050572261,0.0
1.060556351,0.0
1.070570706,0.0
1.080584313,0.0
1.090579402,0.0
1.100559022,0.0
1.110580144,0.0
1.120569109,0.4
1.130598731,0.0
1.140567695,0.0
1.150573425,0.0
1.160568406,0.0
1.170616012,0.0
1.180561741,0.0
1.190583473,0.0
1.200571703,0.0
1.210583933,0.0
1.220577898,0.0
1.230582504,0.0
1.24056925,0.0
1.25058223,0.0
1.260576445,0.0
1.270582067,0.0
1.280566655,0.0
1.290583652,0.0
1.300567008,0.0
1.310583863,0.0
1.320598704,0.0
1.330589308,0.0
1.340571554,0.0
1.35058727,0.0
1.360581641,0.4
1.370591731,0.0
1.380574961,0.0
1.390587067,0.0
1.400582672,0.0
1.410611528,0.4
1.420587258,0.0
1.430616739,0.0
1.440583093,0.0
1.450611825,0.4
1.460579805,0.4
1.470608661,0.0
1.480581516,0.4
1.490599871,0.0
1.500577461,0.0
1.510595707,0.0
1.520586547,0.0
1.530603653,0.0
1.540587649,0.0
1.55059238,0.0
1.560587235,0.0
1.57059384,0.0
1.580589446,0.0
1.590598426,0.0
1.600583531,0.0
1.610604513,0.0
1.620586352,0.0
1.630622974,0.0
1.640593563,0.4
1.650621045,0.4
1.660593524,0.0
1.670624271,0.0
1.680588235,0.0
1.690624216,0.0
