Time,CAN1_TCM_TST_MSG_101_65h_nGbOutD3Sns_t1
0.013560282,169.25
0.018231474,169.25
0.02381922,169.25
0.028340175,169.75
0.033783917,169.75
0.038411109,169.75
0.044089623,169.75
0.048406541,169.75
0.053751031,169.75
0.058484241,169.75
0.063951984,169.75
0.068418922,169.75
0.073848415,169.75
0.078462606,169.75
0.083993116,169.75
0.088251782,169.75
0.0937762,169.75
0.098018131,170.75
0.103815726,170.75
0.108582921,170.75
0.113726906,170.75
0.118466101,170.75
0.124030863,170.75
0.128461799,170.75
0.133586018,170.75
0.138088378,170.75
0.143624623,170.75
0.148254581,170.75
0.153635556,170.75
0.158309514,170.75
0.163708755,170.75
0.168097692,172.25
0.173407931,172.25
0.177994871,172.25
0.183521116,172.25
0.188258076,172.25
0.193604316,172.25
0.198139256,172.25
0.203789097,172.25
0.20847829,172.25
0.213686776,172.25
0.218441971,172.25
0.223764461,172.25
0.22846267,172.25
0.233593889,172.25
0.238230252,171.375
0.243741512,171.375
0.248138433,171.375
0.253636443,171.375
0.258246384,171.375
0.263483621,171.375
0.268263566,171.375
0.273473804,171.375
0.278132746,171.375
0.283624989,171.375
0.288029925,171.375
0.293604172,171.375
0.298019108,171.375
0.303932971,171.375
0.308507005,174.25
0.313771149,174.25
0.318330339,174.25
0.323932101,174.25
0.328451275,174.25
0.333634433,174.25
0.338031354,174.25
0.343627616,174.25
0.348257557,174.25
0.353664548,174.25
0.358317506,174.25
0.363674747,174.25
0.368048682,174.25
0.373461908,174.25
0.378003864,174.75
0.383538108,174.75
0.388276052,174.75
0.393632308,174.75
0.39827725,174.75
0.403969093,174.75
0.408331028,174.75
0.413716519,174.75
0.418424462,174.75
0.423737953,174.75
0.428376144,174.75
0.433722634,174.75
0.438322247,174.75
0.443779489,176.125
0.448081424,176.125
0.453461415,176.125
0.458282377,176.125
0.463502597,176.125
0.468285559,176.125
0.473492796,176.125
0.478203739,176.125
0.483653982,176.125
0.488073918,176.125
0.493620164,176.125
0.4980331,176.125
0.503869711,176.125
0.508614906,176.125
0.513941396,177.625
0.518422333,177.625
0.524002595,177.625
0.528489518,177.625
0.533832024,177.625
0.538168364,177.625
0.543657607,177.625
0.548277549,177.625
0.553692541,177.625
0.5583765,177.625
0.563698739,177.625
0.568072674,177.625
0.5734649,177.625
0.578023856,176.875
0.583607102,176.875
0.588296045,176.875
0.593690302,176.875
0.598288414,176.875
0.603969085,176.875
0.608516274,176.875
0.61368451,176.875
0.618468706,176.875
0.623938449,176.875
0.628579656,176.875
0.633601873,176.875
0.638300238,176.875
0.643804482,176.875
0.648134416,179.875
0.653562409,179.875
0.658292353,179.875
0.66352459,179.875
0.668303551,179.875
0.673481787,179.875
0.678258732,179.875
0.683684975,179.875
0.688088911,179.875
0.693627155,179.875
0.69816211,179.875
0.703776936,179.875
0.708531223,179.875
0.713786884,179.75
0.718501171,179.75
0.72396482,179.75
0.728366756,179.75
0.733565399,179.75
0.738098338,179.75
0.7436806,179.75
0.748310542,179.75
0.753685533,179.75
0.758421492,179.75
0.763699715,179.75
0.768081651,179.75
0.773453892,179.75
0.778059848,180.5
0.783613094,180.5
0.788267036,180.5
0.793674278,180.5
0.798208217,180.5
0.803937076,180.5
0.808463093,180.5
0.813553483,180.5
0.818504949,180.5
0.823862517,180.5
0.828563648,180.5
0.833756119,180.5
0.838306231,180.5
0.843800474,181.125
0.848199582,181.125
0.853495399,181.125
0.858305345,181.125
0.863495581,181.125
0.868311543,181.125
0.873484763,181.125
0.878186722,181.125
0.883719968,181.125
0.888102904,181.125
0.893647149,181.125
0.898177089,181.125
0.903906683,181.125
0.908640893,181.125
0.913918132,179.5
0.918539325,179.5
0.924123087,179.5
0.928556008,179.5
0.933711416,179.5
0.938174339,179.5
0.943728601,179.5
0.948299541,179.5
0.953711533,179.5
0.958351491,179.5
0.963766734,179.5
0.968092653,179.5
0.973464894,179.5
0.978043851,181.625
0.983621097,181.625
0.988298041,181.625
0.993681283,181.625
0.998196222,181.625
1.003992084,181.625
1.008494022,181.625
1.013769511,181.625
1.018272435,181.625
1.023846197,181.625
1.028381137,181.625
1.033901882,181.625
1.038253567,181.625
1.044032584,181.625
1.048417521,181.625
1.053663993,181.625
1.058525457,181.625
1.064007217,181.625
1.068429138,181.625
1.073828802,181.625
1.078480839,181.625
1.083769234,181.625
1.088084168,181.625
1.093609414,181.625
1.098066352,181.625
1.1039662,181.625
1.108546235,182.0
1.11380263,182.0
1.11855084,182.0
1.124080586,182.0
1.128414521,182.0
1.133673665,182.0
1.138079603,182.0
1.143685866,182.0
1.148311807,182.0
1.153683799,182.0
1.158380758,182.0
1.163773985,182.0
1.168087919,182.0
1.173482161,182.0
1.178060102,183.125
1.183611363,183.125
1.188319307,183.125
1.193698549,183.125
1.198235489,183.125
1.203969349,183.125
1.208417271,183.125
1.213760761,183.125
1.218366954,183.125
1.223949716,183.125
1.228575751,183.125
1.233700143,183.125
1.238333507,183.125
1.243818751,182.5
1.248318862,182.5
1.253589679,182.5
1.258333624,182.5
1.263563862,182.5
1.268369824,182.5
1.273522045,182.5
1.278251005,182.5
1.28375025,182.5
1.288130185,182.5
1.293657431,182.5
1.29812837,182.5
1.303959216,182.5
1.30857633,185.0
1.313894742,185.0
1.318544856,185.0
1.324094352,185.0
1.328511289,185.0
1.333737699,185.0
1.338100618,185.0
1.343697881,185.0
1.348334823,185.0
1.353732816,185.0
1.358411775,185.0
1.363745999,185.0
1.368085934,185.0
1.373485177,185.5
1.378068118,185.5
1.38364638,185.5
1.388343324,185.5
1.393739566,185.5
1.398319507,185.5
1.403996365,185.5
1.408575556,185.5
1.413818029,185.5
1.418519238,185.5
1.42391748,185.5
1.428495421,185.5
1.433904914,186.125
1.438410525,186.125
1.443846768,186.125
1.448263861,186.125
1.453704698,186.125
1.45834364,186.125
1.463586879,186.125
1.468356824,186.125
1.473558062,186.125
1.478269021,186.125
1.483790267,186.125
1.488168202,186.125
1.493694447,186.125
1.498142385,186.75
1.503883151,186.75
1.508478171,186.75
1.513875663,186.75
1.518599873,186.75
1.524167619,186.75
1.528531555,186.75
1.533741699,186.75
1.538140635,186.75
1.543705897,186.75
1.54835584,186.75
1.553715832,186.75
1.558411775,186.75
1.563747016,185.25
1.568168952,185.25
1.573537194,185.25
1.578114135,185.25
1.583663397,185.25
1.588321339,185.25
1.593742582,185.25
1.598259521,185.25
1.603844111,185.25
1.608541306,185.25
1.613764543,185.25
1.618489754,185.25
1.623976248,185.25
1.628432185,187.5
1.633947931,187.5
1.638409541,187.5
1.643862784,187.5
1.648106701,187.5
1.653539694,187.5
1.658347657,187.5
1.663702069,187.5
1.66835684,187.5
1.673512076,187.5
1.678270022,187.5
1.683801283,187.5
1.688113201,187.5
1.693709464,186.875
1.698220403,186.875
1.704049249,186.875
1.708476186,186.875
1.713953681,186.875
1.718534716,186.875
1.724119134,186.875
1.728539071,186.875
1.73380756,186.875
1.738280655,186.875
1.743758915,186.875
1.748374856,186.875
1.753759848,186.875
1.758440791,187.0
1.763763032,187.0
1.768132968,187.0
1.77353821,187.0
1.778141151,187.0
1.783656397,187.0
1.788358356,187.0
1.793769599,187.0
1.798276537,187.0
1.804075399,187.0
1.808549321,187.0
1.813735809,187.0
1.818512004,188.125
1.823770493,188.125
1.828628706,188.125
1.833976197,188.125
1.838373555,188.125
1.8438578,188.125
1.848148718,188.125
1.853562711,188.125
1.858342672,188.125
1.863706086,188.125
1.868347856,188.125
1.873706269,188.125
1.878230036,188.125
1.883811298,186.875
1.888140216,186.875
1.893695476,186.875
1.898188412,186.875
1.903917254,186.875
1.908590461,186.875
1.913993186,186.875
1.918594391,186.875
1.924108134,186.875
1.928501068,186.875
1.933681709,186.875
1.938153646,186.875
1.943768907,186.875
1.948354846,189.75
1.953754836,189.75
1.958411777,189.75
1.963784017,189.75
1.96813295,189.75
1.97355819,189.75
1.978126129,189.75
1.983657373,189.75
1.988314329,189.75
1.99374357,189.75
1.998275508,189.75
2.004050351,189.75
2.008461286,189.75
2.013818774,189.875
2.018474809,189.875
2.023880472,189.875
2.028653744,189.875
2.033950403,189.875
2.038417261,189.875
2.044063836,189.875
2.048408847,189.875
2.053525408,189.875
2.058625969,189.875
2.063998458,189.875
2.068627398,189.875
2.074015889,191.0
2.078489825,191.0
2.083961989,191.0
2.088350345,191.0
2.093703413,191.0
2.098119348,191.0
2.103796016,191.0
2.1086784,191.0
2.113980872,191.0
2.118445808,191.0
2.124055569,191.0
2.128550506,191.0
2.133814977,191.0
2.138345587,191.375
2.143754843,191.375
2.148406783,191.375
2.153787774,191.375
2.158473715,191.375
2.163834954,191.375
2.168188887,191.375
2.173545127,191.375
2.178146066,191.375
2.183636308,191.375
2.188426268,191.375
2.193791507,191.375
2.198297445,190.125
2.204023287,190.125
2.208641227,190.125
2.213796711,190.125
2.218565904,190.125
2.223811391,190.125
2.228651601,190.125
2.23396809,190.125
2.238419448,190.125
2.24389769,190.125
2.248306624,190.125
2.253743772,190.125
2.258387556,190.125
2.263764968,192.25
2.268426737,192.25
2.273659973,192.25
2.278315914,192.25
2.283837173,192.25
2.288300109,192.25
2.29374935,192.25
2.298190285,192.25
2.303960129,192.25
2.308704337,192.25
2.31403981,192.25
2.318655016,192.25
2.324167758,191.625
2.328582693,191.625
2.333758585,191.625
2.33818952,191.625
2.343765764,191.625
2.34841072,191.625
2.353789711,191.625
2.358492652,191.625
2.36380689,191.625
2.368168824,191.625
2.373577065,191.625
2.378163004,191.625
2.383697247,191.625
2.388392204,191.875
2.393769444,191.875
2.398331382,191.875
2.404131226,191.875
2.408603163,191.875
2.413867649,191.875
2.418334585,191.875
2.42392808,191.875
2.428663461,191.875
2.433935932,191.875
2.438422541,191.875
2.443902783,191.875
2.448156714,192.125
2.45378571,192.125
2.458378649,192.125
2.46375706,192.125
2.468381844,192.125
2.473562064,192.125
2.478263021,192.125
2.483818265,192.125
2.488153198,192.125
2.493768443,192.125
2.498163378,192.125
2.503922221,192.125
2.508659507,192.125
2.513901166,190.5
2.518642358,190.5
2.524184118,190.5
2.528503034,190.5
2.533781694,190.5
2.538201613,190.5
2.543779873,190.5
2.548423814,190.5
2.553795804,190.5
2.55847676,190.5
2.563848,190.5
2.568204918,190.5
2.573624159,192.625
2.578175112,192.625
2.583729356,192.625
2.588423298,192.625
2.593818554,192.625
2.598319475,192.625
2.604008081,192.625
2.608466002,192.625
2.613835507,192.625
2.618458697,192.625
2.623859187,192.625
2.628636397,192.625
2.633867868,192.625
2.638464057,192.75
2.644007738,192.75
2.648203652,192.75
2.653752817,192.75
2.658381586,192.75
2.663665823,192.75
2.668417782,192.75
2.673676018,192.75
2.678327959,192.75
2.683834202,192.75
2.688173135,192.75
2.69375838,192.75
2.698181315,193.5
2.704035176,193.5
2.708610192,193.5
2.713834585,193.5
2.718580872,193.5
2.724037535,193.5
2.728416469,193.5
2.73377563,193.5
2.738275552,193.5
2.74379381,193.5
2.74841475,193.5
2.753781239,193.5
2.758552699,193.5
2.76382992,194.5
2.768177854,194.5
2.773625095,194.5
2.778180049,194.5
2.783731292,194.5
2.788392234,194.5
2.79379649,194.5
2.79841043,194.5
2.80408027,194.5
2.808586207,194.5
2.813859694,194.5
2.81844979,194.5
2.824038628,193.25
2.828593567,193.25
2.833978306,193.25
2.838411413,193.25
2.843907657,193.25
2.84824659,193.25
2.853616579,193.25
2.858415523,193.25
2.86365476,193.25
2.868408718,193.25
2.873615938,193.25
2.878297895,193.25
2.883827138,196.125
2.888177073,196.125
2.89377032,196.125
2.898222257,196.125
2.904095119,196.125
2.908765062,196.125
2.913940297,196.125
2.918540738,196.125
2.9241485,196.125
2.92871944,196.125
2.933935912,196.125
2.938453522,196.125
2.943827764,195.375
2.948440705,195.375
2.953818695,195.375
2.958539655,195.375
2.963883895,195.375
2.968223814,195.375
2.973657056,195.375
2.978199011,195.375
2.983767256,195.375
2.988457199,195.375
2.993830456,195.375
2.998440397,195.375
3.004094989,195.375
3.008554926,196.125
3.013691145,196.125
3.018476356,196.125
3.023910849,196.125
3.028780311,196.125
3.034013783,196.125
3.038655991,196.125
3.044105483,196.125
3.048592671,196.125
3.05388216,196.125
3.058678356,196.125
3.064157115,196.125
3.068507033,196.25
3.074085795,196.25
3.078647814,196.25
3.083989381,196.25
3.088301315,196.25
3.093797559,196.25
3.098241496,196.25
3.104124358,196.25
3.108695299,196.25
3.114008866,196.25
3.118502976,196.25
3.124213741,196.25
3.128635662,194.5
3.13382182,194.5
3.13823674,194.5
3.143831002,194.5
3.148456943,194.5
3.153840935,194.5
3.158533894,194.5
3.163892134,194.5
3.168246053,194.5
3.173622294,194.5
3.178217251,194.5
3.183763495,194.5
3.188456438,196.625
3.193833695,196.625
3.198409635,196.625
3.204032225,196.625
3.208540321,196.625
3.213899905,196.625
3.218625099,196.625
3.22402559,196.625
3.228801801,196.625
3.234024273,196.625
3.238446631,196.625
3.243941874,196.625
3.248303809,196.625
3.2536458,196.25
3.258367743,196.25
3.263668982,196.25
3.268467944,196.25
3.27369318,196.25
3.278365123,196.25
3.283903368,196.25
3.288309304,196.25
3.293816548,196.25
3.298210484,196.25
3.304111347,196.25
3.308712195,196.25
3.313999777,197.0
3.31870697,197.0
3.324242731,197.0
3.328658901,197.0
3.333801809,197.0
3.338223729,197.0
3.343815991,197.0
3.348465933,197.0
3.353916519,197.0
3.358571883,197.0
3.363863106,197.0
3.368363217,197.0
3.373671284,197.875
3.378190238,197.875
3.383781485,197.875
3.388453427,197.875
3.393857685,197.875
3.398407608,197.875
3.404156468,197.875
3.408655406,197.875
3.413935895,197.875
3.418621088,197.875
3.42405858,197.875
3.42880279,197.875
3.434089263,196.75
3.43846362,196.75
3.443971864,196.75
3.448235796,196.75
3.453810792,196.75
3.458448734,196.75
3.463710972,196.75
3.468440932,196.75
3.473815173,196.75
3.478374112,196.75
3.483904358,196.75
3.488244292,196.75
3.493814537,199.625
3.498243473,199.625
3.504184588,199.625
3.508796779,199.625
3.514108268,199.625
3.518674459,199.625
3.524125951,199.625
3.528508886,199.625
3.533864798,199.625
3.538225718,199.625
3.54383898,199.625
3.548462922,199.625
3.553858913,200.5
3.558530871,200.5
3.563871096,200.5
3.568237031,200.5
3.573678273,200.5
3.578226228,200.5
