Time,CAN1_TCM_TST_MSG_112_70h_tmpCltActTC_t7
1.196977905,108.0
3.757410045,108.0
6.312818419,108.0
8.872991056,108.0
11.433515109,108.0
13.988444445,108.0
16.5486527,108.0
19.10450828,109.0
21.664251307,109.0
24.219670046,109.0
26.779687618,109.0
29.335228295,109.0
31.895244797,109.0
34.45563926,109.0
37.010803972,108.0
39.570974294,112.0
42.126643317,115.0
44.686566591,114.0
47.241685164,114.0
49.802083319,114.0
52.362123677,114.0
54.917499661,114.0
57.477685193,114.0
60.033056009,114.0
62.593156319,118.0
65.148505257,118.0
67.709010473,118.0
70.263812926,118.0
72.824397669,118.0
75.384484188,118.0
77.939864992,118.0
80.500057217,118.0
83.055305123,118.0
85.615636698,121.0
88.170908128,125.0
90.731361023,125.0
93.286229965,125.0
95.84629292,125.0
98.406728127,124.0
100.962140733,124.0
103.522319551,124.0
106.077660547,124.0
108.6377497,124.0
111.193149409,124.0
113.753399432,124.0
116.308620303,124.0
118.868496064,124.0
121.42902965,124.0
123.984301269,124.0
126.5444598,124.0
129.099578779,124.0
131.659861659,124.0
134.215677617,124.0
136.775500627,124.0
139.330767265,124.0
141.89091971,124.0
144.451174207,124.0
147.006811772,124.0
149.566580081,124.0
152.121996497,124.0
154.682063057,124.0
157.237912386,124.0
159.797931917,124.0
162.352920822,124.0
164.913277442,123.0
167.473213798,123.0
170.028908082,123.0
172.588741931,123.0
175.143930846,123.0
177.704456285,123.0
180.25975436,123.0
182.820390325,123.0
185.380504317,123.0
187.935454141,124.0
190.495571353,124.0
193.051199921,124.0
195.611496802,124.0
198.166340796,124.0
200.726969692,125.0
203.282015196,125.0
205.842729016,125.0
208.402636393,125.0
210.957692493,125.0
213.518058306,125.0
216.073592879,125.0
218.633926122,126.0
221.188659378,126.0
223.748889739,126.0
226.30471318,126.0
228.864570249,126.0
231.425383575,126.0
233.979884022,126.0
236.540140878,126.0
239.095827599,126.0
241.656192223,126.0
244.21113422,126.0
246.771098077,126.0
249.327040683,126.0
251.886904278,126.0
254.447212568,126.0
257.002378742,126.0
259.562475065,126.0
262.118261479,126.0
264.67817445,126.0
267.233356526,126.0
269.793418317,126.0
272.348965872,126.0
274.909466864,126.0
277.469501032,126.0
280.024637915,125.0
282.584473116,125.0
285.140353795,125.0
287.70062382,125.0
290.256370584,125.0
292.816051075,125.0
295.371125259,125.0
297.93155602,125.0
300.491667797,125.0
303.04677739,125.0
305.607203041,125.0
308.162573637,125.0
310.723056314,125.0
313.277722886,125.0
315.838091891,125.0
318.398179586,125.0
320.953842586,125.0
323.514174651,125.0
326.069117816,126.0
328.629434133,126.0
331.18456754,126.0
333.744932049,126.0
336.300016626,126.0
338.860362052,128.0
341.420791777,128.0
343.976130688,128.0
346.536476734,128.0
349.091253957,128.0
351.651486783,128.0
354.20745162,128.0
356.767269946,128.0
359.322318128,128.0
361.882286475,128.0
364.442516688,128.0
365.387951038,128.0
366.998551592,127.0
369.558801991,128.0
372.113575432,128.0
