Time,Calculated_ClutchSlipPower_kJ_t8
0.014493057,0.16899396266666833
0.024362992,0.17041408000000038
0.03452653,0.17979221333333426
0.044557314,0.17381700266666683
0.054540004,0.19206417066666726
0.064521301,0.1742155733333342
0.074507303,0.17766538666666687
0.084546087,0.2250852480000012
0.094541776,0.20207532800000189
0.104367367,0.19698099200000171
0.114516874,0.22540343466666804
0.124558595,0.22584889600000096
0.134526455,0.24768319999999927
0.144565068,0.2616767146666664
0.154362408,0.22507520000000023
0.164512164,0.2392160853333335
0.174356005,0.2238560426666674
0.184526012,0.2528277760000004
0.194361228,0.22905420800000223
0.204546594,0.2178808320000004
0.214528409,0.260685312000002
0.224378297,0.2798200533333333
0.234542678,0.2689883093333329
0.244379519,0.265528448000001
0.254554885,0.26468106666666585
0.264558372,0.24914016000000058
0.274372462,0.2569876480000014
0.284383324,0.2921154560000011
0.294373684,0.28449237333333377
0.304385171,0.29023648000000063
0.314545241,0.29571264000000086
0.324388628,0.30260221866666903
0.334545807,0.31281433600000086
0.344389976,0.34076787200000297
0.354599937,0.3277523626666684
0.364558313,0.31635793066666795
0.374381169,0.3174699093333361
0.38439028,0.3716688213333361
0.394380391,0.3708180906666696
0.404603383,0.35504608000000076
0.414570666,0.37327315200000083
0.424604825,0.4221935146666692
0.434564889,0.4088095786666679
0.444611954,0.4013841066666671
0.454389293,0.457693098666668
0.464581942,0.4313271466666671
0.474571537,0.4315816960000028
0.48458368,0.47467756800000155
0.49456751,0.4775345493333373
0.504399709,0.4597160960000034
0.514556404,0.49255965866666773
0.524608875,0.5314990080000027
0.534403419,0.5083417173333351
0.54440553,0.5491767893333352
0.554601991,0.5881596800000015
0.56458407,0.5874462720000005
0.57458876,0.5709642026666697
0.584599355,0.5858988800000001
0.59440032,0.5994134400000009
0.604613751,0.607100160000003
0.614582767,0.6029134933333342
0.624426265,0.6303478826666694
0.634575273,0.6299057706666676
0.644596889,0.6323876266666696
0.654584987,0.6665039360000021
0.664412847,0.6693207253333384
0.674574841,0.6360785920000035
0.684414326,0.6646751999999996
0.694590697,0.6790103466666667
0.704408165,0.6665039360000021
0.71458116,0.6864793600000031
0.724423505,0.7108156160000008
0.734597796,0.7034202880000023
0.744422484,0.7180836693333352
0.754413098,0.7379385173333348
0.764603093,0.7596689920000042
0.774414812,0.7383906773333391
0.784426067,0.772851968000004
0.794600828,0.7893306880000042
0.804632287,0.7942743040000044
0.814614682,0.8008657920000043
0.824613532,0.8239360000000046
0.834593459,0.8373199360000037
0.844448741,0.8558551466666735
0.85442473,0.8745779199999995
0.864430954,0.8521038933333329
0.874602183,0.8727692800000058
0.884634564,0.8865819306666708
0.89463596,0.9090928000000048
0.904434413,0.9141469440000021
0.914614845,0.9392066560000039
0.924441251,0.9361386666666673
0.934616621,0.9267772800000007
0.944432481,0.9300931199999999
0.954418345,0.9624175360000039
0.964628528,0.9701477973333391
0.974586532,0.9573399466666668
0.984622226,0.9849049600000059
0.994436289,0.9984898560000057
1.004444779,1.0121819306666726
1.014431393,1.0479159680000023
1.024652873,1.0461475200000003
1.034623128,1.0299200000000057
1.044649306,1.0312262399999996
1.054636623,1.055368234666673
1.064629909,1.065540160000008
1.074610211,1.0763283626666684
1.084452555,1.1047441066666746
1.094650989,1.1040742400000063
1.10445727,1.0869256533333378
1.114654515,1.1062345600000005
