Time,CAN2_TCM_C08_CurrGr_Stat_PT_t4
0.013858977,0.0
0.033887934,0.0
0.053905908,0.0
0.075585162,0.0
0.093907836,0.0
0.113881309,0.0
0.135604439,0.0
0.155440392,0.0
0.175442989,0.0
0.195439211,0.0
0.213892766,0.0
0.233907113,0.0
0.253920961,0.0
0.275454946,0.0
0.295451668,0.0
0.313911098,0.0
0.333914695,0.0
0.353962794,0.0
0.375457652,0.0
0.395461375,0.0
0.41393807,0.0
0.433929418,0.0
0.455465778,0.0
0.473937472,0.0
0.493933445,0.0
0.513919526,0.0
0.535478402,0.0
0.553963348,0.0
0.573951678,0.0
0.595478304,0.0
0.613942624,0.0
0.635653258,0.0
0.655667472,0.0
0.675657325,0.0
0.695670181,0.0
0.71565766,0.0
0.733963715,0.0
0.755494082,0.0
0.775494311,0.0
0.795680297,0.0
0.813980602,0.0
0.83395633,0.0
0.855501198,0.0
0.873965024,0.0
0.894001879,0.0
0.913979218,0.0
0.933979572,0.0
0.955496329,0.0
0.973955389,0.0
0.995517273,0.0
1.015506377,0.0
1.033984562,0.0
1.054002542,0.0
1.075689679,0.0
1.094015377,0.0
1.114020466,0.0
1.135531347,0.0
1.155727082,0.0
1.174007888,0.0
1.195530004,0.0
1.213982205,0.0
1.233989185,0.0
1.25402829,0.0
1.275534906,0.0
1.294026858,0.0
1.314011462,0.0
1.335548204,0.0
1.355540058,0.0
1.374034885,0.0
1.395549126,0.0
1.414021702,0.0
1.434016306,0.0
1.455548423,0.0
1.47403375,0.0
1.495552383,0.0
1.515554847,0.0
1.534043173,0.0
1.555553914,0.0
1.575556644,0.0
1.595551373,0.0
1.615562838,0.0
1.635553057,0.0
1.655750147,0.0
1.675750606,0.0
1.695759817,0.0
1.71574426,0.0
1.735733469,0.0
1.755550909,0.0
1.775543103,0.0
1.795565188,0.0
1.814023246,0.0
1.834051582,0.0
1.855587303,0.0
1.875571387,0.0
1.895572331,0.0
1.915544915,0.0
1.935546875,0.0
1.955594649,0.0
1.975554654,0.0
1.995589866,0.0
2.015559183,0.0
2.035565268,0.0
2.054288599,0.0
2.075563172,0.0
2.095593008,0.0
2.115571092,0.0
2.13555341,0.0
2.155582106,0.0
2.175786962,0.0
2.195616417,0.0
2.215581735,0.0
2.23560418,0.0
2.255603015,0.0
2.275590224,0.0
2.295616184,0.0
2.315586128,0.0
2.335578838,0.0
2.35433342,0.0
2.375596867,0.0
2.395622202,0.0
2.415588911,0.0
2.435617481,0.0
2.455648817,0.0
2.47560751,0.0
2.49563447,0.0
2.515599304,0.0
2.535610499,0.0
2.555636084,0.0
2.575601903,0.0
2.595644238,0.0
2.615623947,0.0
2.635667903,0.0
2.65564671,0.0
2.67584093,0.0
2.695874005,0.0
2.715848062,0.0
2.735859636,0.0
2.755861195,0.0
2.775625372,0.0
2.795659947,0.0
2.815637754,0.0
2.835666454,0.0
2.855852439,0.0
2.875868857,0.0
2.895891431,0.0
2.91587038,0.0
2.935866688,0.0
2.955869887,0.0
2.975660689,0.0
2.995674638,0.0
3.015661947,0.0
3.035657395,0.0
3.055658829,0.0
3.075883283,0.0
3.095684352,0.0
3.11566216,0.0
3.135683109,0.0
3.155698543,0.0
3.175680616,0.0
3.195921837,0.0
3.215668264,0.0
3.235678197,0.0
3.255681396,0.0
3.275679329,0.0
3.295717779,0.0
3.315688352,0.0
3.33569791,0.0
3.355682734,0.0
3.375707059,0.0
3.395721117,0.0
3.415697066,0.0
3.435714515,0.0
3.455720323,0.0
3.475707397,0.0
3.495733221,0.0
3.515698654,0.0
3.535713978,0.0
3.555709426,0.0
3.575714485,0.0
3.595743559,0.0
3.615713742,0.0
3.635719322,0.0
3.655761157,0.0
3.675727225,0.0
3.695954706,0.0
3.71594554,0.0
3.735929858,0.0
3.755935801,0.0
3.775942386,0.0
3.796402514,0.0
3.815739158,0.0
3.835732852,0.0
3.855736561,0.0
3.87575452,0.0
3.895787106,0.0
3.915742298,0.0
3.935741758,0.0
3.955746451,0.0
3.97575441,0.0
3.995783246,0.0
4.015746063,0.0
4.035748523,0.0
4.055766591,0.0
4.075972947,0.0
4.095791636,0.0
4.115786094,0.0
4.135788397,0.0
4.155792747,0.0
4.17577169,0.0
4.195795525,0.0
4.21597688,0.0
4.235772318,0.0
4.255779262,0.0
4.275765345,0.0
4.295822306,0.0
4.315776374,0.0
4.335792958,0.0
4.355797902,0.0
4.375788986,0.0
4.395814555,0.0
4.415776638,0.0
4.435803723,0.0
4.455845558,0.0
4.475795501,0.0
4.495824836,0.0
4.515803529,0.0
4.535795488,0.0
4.555797322,0.0
4.575819141,0.0
4.595838101,0.0
4.615818435,0.0
4.635825757,0.0
4.655791222,0.0
4.675808564,0.0
4.69583214,0.0
4.716033377,0.0
4.736018468,0.0
4.756035794,0.0
4.77603526,0.0
4.796543756,0.0
4.815859281,0.0
4.835846372,0.0
4.855830571,0.0
4.875877414,0.0
4.895847379,0.0
4.915832205,0.0
4.935821295,0.0
4.955828745,0.0
4.975831962,0.0
4.995866804,0.0
5.015839519,0.0
5.035853345,0.0
5.055864187,0.0
5.075861137,0.0
5.095871103,0.0
5.115841693,0.0
5.13585477,0.0
5.155863345,0.0
5.175854811,0.0
5.195876653,0.0
5.215850368,0.0
5.235874069,0.0
5.255861785,0.0
5.275880126,0.0
5.295900969,0.0
5.315877293,0.0
5.335867758,0.0
5.3558791,0.0
5.375875925,0.0
5.395899518,0.0
5.415884342,0.0
5.435882183,0.0
5.4558964,0.0
5.47589035,0.0
5.495924567,0.0
5.515904908,0.0
5.535904233,0.0
5.55591945,0.0
5.57590429,0.0
5.595939492,0.0
5.615894082,0.0
5.635893289,0.0
5.655907394,0.0
5.675911623,0.0
5.695929102,0.0
5.715912315,0.0
