Time,CAN2_CGW_C1_TotalVehDist_Cval_DIAG_t0
250.080416459,294657.0
251.080620265,294657.0
252.080630856,294657.0
253.080838133,294657.0
254.080877637,294657.0
255.08070071,294657.0
256.080714948,294657.0
257.08095184,294657.0
258.08101551,294657.0
259.08084937,294657.0
260.080991152,294657.0
261.081051014,294657.0
262.081114031,294657.0
263.081209897,294657.0
264.081916632,294657.0
265.081925036,294657.0
266.081967276,294657.0
267.082326269,294657.0
268.0823801,294657.0
269.082686529,294657.0
270.082752808,294657.0
271.082798555,294657.0
272.082879221,294657.0
273.082892056,294657.0
274.08315369,294657.0
275.083177883,294657.0
276.083210741,294657.0
277.081118164,294657.0
278.080974619,294657.0
279.08106754,294657.0
280.081174936,294657.0
281.08106797,294657.0
282.081156121,294657.0
283.081240798,294657.0
284.081086073,294657.0
285.081111941,294657.0
286.081137661,294657.0
287.081162797,294657.0
288.081187439,294657.0
289.081212723,294657.0
290.081238699,294657.0
291.081264764,294657.0
292.081290859,294657.0
293.081315741,294657.0
294.081364315,294657.0
295.081366146,294657.0
296.081391887,294657.0
297.081417058,294657.0
298.08147624,294657.0
299.081547887,294657.0
300.081641587,294657.0
301.081695871,294657.0
302.08178979,294657.0
303.081869831,294657.0
304.081975742,294657.0
305.082041379,294657.0
306.082128872,294657.0
307.082155133,294657.0
308.082411665,294657.0
309.082453456,294657.0
310.08248923,294657.0
311.082543579,294657.0
312.082573456,294657.0
313.082620181,294657.0
314.082661867,294657.0
315.082695215,294657.0
316.082753488,294657.0
317.082855584,294657.0
318.082943774,294657.0
319.083258932,294657.0
320.083133627,294657.0
321.083240498,294657.0
322.083327768,294657.0
323.083428227,294657.0
324.083746922,294657.0
325.08361293,294657.0
326.083720479,294657.0
327.083814941,294657.0
328.08390055,294657.0
329.083922482,294657.0
330.083932431,294657.0
331.084000335,294657.0
332.084076191,294657.0
333.084125081,294657.0
334.084155741,294657.0
335.084200311,294657.0
336.08427783,294657.0
337.084318107,294657.0
338.084386385,294657.0
339.084598038,294657.0
340.082517083,294657.0
341.082544362,294657.0
342.082586353,294657.0
343.082624813,294657.0
344.084828504,294657.0
345.084726253,294657.0
346.082670171,294657.0
347.083185499,294657.0
348.083293368,294657.0
349.083178269,294657.0
350.083274598,294657.0
351.083378832,294657.0
352.083197687,294657.0
353.083213865,294657.0
354.083011525,294657.0
355.083031209,294657.0
356.083042402,294657.0
357.083055026,294657.0
358.0830668,294657.0
359.083083605,294657.0
360.083096167,294657.0
361.083110386,294657.0
362.083123669,294657.0
363.083139492,294657.0
364.083162114,294657.0
365.083176768,294657.0
366.083193184,294657.0
367.083207951,294657.0
368.083252601,294657.0
369.083668064,294657.0
370.083693384,294657.0
371.083712203,294657.0
372.083745638,294657.0
373.083772681,294657.0
373.117780859,294658.0
374.083793736,294658.0
375.083820727,294658.0
376.083841249,294658.0
377.083868879,294658.0
378.083891856,294658.0
379.083918894,294658.0
380.08394565,294658.0
381.083970264,294658.0
382.083998055,294658.0
383.084019665,294658.0
384.084042442,294658.0
385.084073428,294658.0
386.084102,294658.0
387.084124366,294658.0
388.084141531,294658.0
389.084152965,294658.0
390.084174561,294658.0
391.084191445,294658.0
392.084210952,294658.0
393.084224,294658.0
394.084233003,294658.0
395.084257236,294658.0
396.084265342,294658.0
397.08429327,294658.0
398.084334474,294658.0
399.084380124,294658.0
400.084419139,294658.0
401.084466143,294658.0
402.084538462,294658.0
403.084583954,294658.0
404.084676351,294658.0
405.084779135,294658.0
406.084885363,294658.0
407.084984605,294658.0
408.085102861,294658.0
409.085170678,294658.0
410.085283432,294658.0
411.085323302,294658.0
412.085332353,294658.0
413.08538214,294658.0
414.085500949,294658.0
415.085566435,294658.0
416.084591826,294658.0
417.085755258,294658.0
418.084575397,294658.0
419.08468365,294658.0
420.084766284,294658.0
421.084618207,294658.0
422.084628461,294658.0
423.084644268,294658.0
424.084674665,294658.0
425.084701419,294658.0
426.084726873,294658.0
427.0847406,294658.0
428.084765652,294658.0
429.084792307,294658.0
430.084834574,294658.0
431.085075346,294658.0
432.084876153,294658.0
433.084900632,294658.0
434.084920584,294658.0
435.085000921,294658.0
436.085076613,294658.0
437.085122517,294658.0
438.085237589,294658.0
439.085284927,294658.0
440.085348195,294658.0
441.085439455,294658.0
442.085496015,294658.0
443.085555283,294658.0
444.08668113,294658.0
445.086365757,294658.0
446.085561694,294658.0
447.085672507,294658.0
448.086709661,294658.0
449.086754411,294658.0
450.086789095,294658.0
451.087231363,294658.0
452.087297131,294658.0
453.087411123,294658.0
454.087465129,294658.0
455.087529341,294658.0
456.087409725,294658.0
457.087486989,294658.0
458.087746622,294658.0
459.087847271,294658.0
460.087929589,294658.0
461.087965931,294658.0
462.087994042,294658.0
463.088006149,294658.0
