Time,CAN2_MCM_C02_EngSpd_Cval_PT_t6,CAN2_MCM_C02_EngTrq_Cval_PT_t6
832.732089228,1277.1200000000001,482.0
832.742140885,1278.56,482.2000000000007
832.752115945,1278.08,482.40000000000055
832.762075474,1278.4,482.40000000000055
832.772239993,1278.88,482.40000000000055
832.782104082,1279.04,482.60000000000036
832.792096315,1280.64,482.60000000000036
832.80211697,1280.8,482.8000000000002
832.812236347,1278.56,482.8000000000002
832.82223869,1280.32,482.60000000000036
832.832240486,1283.52,482.60000000000036
832.842110669,1283.04,483.0
832.852234499,1281.1200000000001,483.0
832.862119463,1282.4,482.60000000000036
832.872244575,1282.88,482.8000000000002
832.882092164,1281.28,483.2000000000007
832.892245166,1282.08,483.0
832.902123458,1281.28,483.0
832.91212252,1280.64,483.2000000000007
832.922262866,1281.76,483.2000000000007
832.932162518,1281.6000000000001,483.2000000000007
832.94210986,1280.0,483.40000000000055
832.952258721,1281.76,483.2000000000007
832.962255861,1282.88,483.2000000000007
832.972237671,1280.0,483.40000000000055
832.982269468,1279.04,483.2000000000007
832.992171573,1279.84,483.0
833.002235667,1280.0,483.60000000000036
833.012278808,1280.64,483.60000000000036
833.022240853,1279.52,483.60000000000036
833.032261305,1278.4,483.60000000000036
833.042131738,1278.88,483.40000000000055
833.052133284,1279.84,483.8000000000002
833.062105532,1278.88,484.0
833.072271863,1277.76,484.0
833.082156141,1277.76,483.8000000000002
833.092107325,1277.1200000000001,484.0
833.102137638,1277.6000000000001,484.0
833.112159277,1279.52,484.0
833.122247247,1279.04,484.0
833.132160274,1277.6000000000001,484.0
833.142137929,1279.52,483.8000000000002
833.152109365,1280.64,483.8000000000002
833.162128926,1279.52,484.0
833.172222131,1280.0,483.8000000000002
833.18209772,1278.56,483.60000000000036
833.192103422,1277.6000000000001,483.8000000000002
833.202135015,1279.3600000000001,483.8000000000002
833.21212067,1279.3600000000001,484.0
833.222287127,1277.28,484.0
833.232179576,1278.56,483.8000000000002
833.242108713,1280.0,483.8000000000002
833.252146353,1278.4,484.0
833.262157508,1277.1200000000001,484.0
833.272252306,1279.3600000000001,483.8000000000002
833.282142803,1279.52,484.0
833.292145129,1279.04,484.0
833.302112705,1278.88,483.8000000000002
833.312170456,1278.56,483.8000000000002
833.322266114,1279.04,483.8000000000002
833.332272566,1280.64,484.0
833.342264814,1279.52,484.0
833.352162544,1278.4,483.8000000000002
833.362266405,1278.4,483.60000000000036
833.372282201,1276.32,483.8000000000002
833.382268606,1276.64,484.0
833.392122194,1278.4,484.2000000000007
833.402272807,1277.6000000000001,484.60000000000036
833.412198835,1276.8,484.60000000000036
833.422268194,1277.6000000000001,484.40000000000055
833.432181238,1278.88,484.40000000000055
833.442158491,1278.4,484.60000000000036
833.452134931,1278.4,484.40000000000055
833.46214909,1277.76,484.40000000000055
833.472255018,1276.8,484.40000000000055
833.482128596,1279.3600000000001,484.60000000000036
833.492143193,1280.64,484.60000000000036
833.502156399,1277.28,484.8000000000002
833.512137855,1277.1200000000001,484.60000000000036
833.522294017,1280.0,484.40000000000055
833.532189065,1278.56,484.8000000000002
833.54213191,1276.8,484.8000000000002
833.552162367,1277.76,484.60000000000036
833.562188027,1278.4,484.60000000000036
833.572263453,1278.88,484.8000000000002
833.582167923,1279.3600000000001,484.8000000000002
833.592181035,1279.3600000000001,484.60000000000036
833.602198539,1280.32,484.60000000000036
833.612205292,1282.56,484.60000000000036
833.62228325,1282.08,484.60000000000036
833.63216039,1280.32,484.60000000000036
833.64213594,1280.8,484.40000000000055
833.652169396,1281.76,484.40000000000055
833.662133649,1281.6000000000001,484.8000000000002
833.672296047,1281.6000000000001,484.60000000000036
833.682166155,1281.1200000000001,484.40000000000055
833.692143377,1279.3600000000001,484.60000000000036
833.702171458,1279.52,484.60000000000036
833.712201009,1280.64,484.60000000000036
833.722300264,1279.04,485.0
833.732201108,1277.6000000000001,484.8000000000002
833.742175564,1276.8,484.8000000000002
833.75215952,1275.84,485.0
833.762177773,1278.88,485.0
833.772269778,1279.84,485.2000000000007
833.782145778,1277.6000000000001,485.40000000000055
833.792164874,1278.08,485.0
833.802183191,1281.76,484.8000000000002
833.81215863,1282.4,485.0
833.822332856,1280.8,485.0
833.832310125,1280.64,484.60000000000036
833.842302612,1280.8,484.60000000000036
833.852307615,1282.4,484.60000000000036
833.862186506,1285.1200000000001,484.8000000000002
833.872307027,1285.1200000000001,484.60000000000036
833.882178698,1283.3600000000001,484.60000000000036
833.892305907,1284.8,484.2000000000007
833.902160314,1284.64,484.2000000000007
833.912305163,1280.8,484.40000000000055
833.922303823,1281.1200000000001,484.2000000000007
833.932182166,1282.08,484.2000000000007
833.942214827,1280.8,484.60000000000036
833.952266487,1280.32,484.40000000000055
833.96227524,1279.52,484.40000000000055
833.972342667,1278.56,484.60000000000036
833.982282637,1279.04,484.60000000000036
833.992168527,1279.04,484.60000000000036
834.002251938,1277.28,484.8000000000002
834.012300802,1276.0,484.8000000000002
834.022268945,1275.52,484.8000000000002
834.032290011,1274.4,484.8000000000002
834.042205543,1275.3600000000001,485.0
