Time,CAN1_TCM_TST_MSG_112_70h_tmpCltActTC_t7
1.511883459,137.0
4.067444606,137.0
6.62749513,137.0
9.182420376,137.0
11.742672865,137.0
14.29805013,137.0
16.858357638,137.0
19.413777973,137.0
21.973901652,137.0
24.534316893,137.0
27.089537853,136.0
29.649711906,136.0
32.204654985,136.0
34.765054054,136.0
37.320839153,136.0
39.880707002,136.0
42.436000871,136.0
44.996149034,136.0
47.556528267,136.0
48.501641914,136.0
50.112209587,136.0
52.672248359,136.0
55.227301101,136.0
57.78746083,136.0
60.342907934,136.0
62.903053528,136.0
65.458328109,136.0
68.018763179,136.0
70.578915823,136.0
73.134436459,136.0
75.69443028,136.0
78.249572528,136.0
80.810096271,136.0
83.365198674,136.0
85.925631199,135.0
88.48077619,135.0
91.041303495,135.0
93.601283851,135.0
96.156534751,135.0
98.717012325,135.0
101.272128467,135.0
103.832670913,135.0
106.387512528,135.0
108.947818364,135.0
111.503342317,135.0
114.063666219,135.0
116.623928267,135.0
119.178845669,135.0
121.7392875,135.0
124.294361332,135.0
126.854727503,135.0
129.410097895,135.0
131.970349114,135.0
134.530816121,135.0
137.085668555,135.0
139.645906257,135.0
142.201312778,135.0
144.761518051,134.0
147.316751914,134.0
149.877066111,134.0
152.432800419,134.0
154.992756812,134.0
157.553112409,134.0
160.108028161,134.0
162.668211846,134.0
165.223780824,134.0
167.783736722,134.0
170.339130341,134.0
172.899312952,134.0
175.454736903,134.0
178.015291805,134.0
180.575205846,134.0
183.130511445,134.0
185.690775739,134.0
188.245929851,134.0
190.80650598,134.0
193.361504583,134.0
195.922034148,134.0
198.476981269,136.0
201.037590856,136.0
203.597549271,136.0
206.152814176,136.0
208.713365873,137.0
211.268370234,137.0
213.828882907,137.0
216.38377532,137.0
218.94396542,137.0
221.499208911,138.0
224.059796577,138.0
226.620121032,138.0
229.174915734,139.0
231.735505148,138.0
234.290740841,139.0
236.851031385,139.0
239.406179294,139.0
241.966168693,140.0
244.526659198,140.0
247.082208724,140.0
249.642520558,141.0
252.197330279,142.0
254.757598219,143.0
257.313664325,143.0
259.873571868,144.0
262.428577653,144.0
264.988578394,144.0
267.548831622,145.0
270.104838106,145.0
272.664564049,146.0
275.219851106,146.0
277.779700126,146.0
280.335576822,147.0
282.895712837,147.0
285.450553439,148.0
288.011177683,148.0
290.571468643,148.0
293.127271101,149.0
295.687005809,149.0
298.242153932,150.0
300.8023543,151.0
303.357993723,151.0
305.918730653,152.0
308.473191514,153.0
311.033548805,153.0
313.59366545,154.0
316.148915411,155.0
318.709773483,155.0
321.264101038,155.0
323.824637876,155.0
326.379907267,155.0
328.940353198,155.0
331.495382387,155.0
334.055859947,155.0
336.616106294,154.0
339.171684224,154.0
341.732129243,154.0
344.286708367,154.0
346.846976511,155.0
349.402619657,155.0
351.962897107,155.0
354.51786741,156.0
357.078322371,156.0
359.638398639,156.0
362.193849216,156.0
364.754303743,156.0
367.309101893,157.0
369.869279413,157.0
372.425113904,157.0
374.984959784,157.0
377.545331913,157.0
380.100515627,157.0
382.660709673,158.0
385.216777401,158.0
387.776645568,159.0
390.331815565,159.0
392.891767817,159.0
395.447192798,160.0
398.007880231,160.0
400.567827866,160.0
403.122896373,161.0
405.683055712,160.0
408.238667959,161.0
410.79876875,161.0
413.353888044,161.0
415.914293038,161.0
418.46963197,162.0
421.030093926,162.0
423.59010505,162.0
426.145083551,162.0
428.705553375,162.0
431.261101522,162.0
433.821786973,163.0
436.376205986,163.0
438.9366985,163.0
441.492019295,163.0
444.052596253,163.0
446.613083037,163.0
449.167473581,164.0
451.727860953,164.0
454.283256856,164.0
456.843581324,164.0
459.39833669,164.0
461.958811126,164.0
464.514822982,165.0
467.074903347,165.0
469.635059809,165.0
472.189533853,166.0
474.750044224,166.0
477.305861314,166.0
479.86575234,166.0
482.421077251,166.0
484.98117425,165.0
487.537168455,165.0
490.096956091,165.0
492.657163443,165.0
495.212257852,165.0
497.772430082,165.0
500.328193717,165.0
502.887973352,165.0
505.443281307,165.0
508.003725457,165.0
510.563681265,165.0
513.11965784,165.0
515.679500909,164.0
518.234677566,164.0
520.794766101,164.0
523.350129953,164.0
525.910815162,164.0
528.465631008,164.0
531.026035446,164.0
533.585916724,164.0
536.141613256,164.0
538.7018192,164.0
541.256930267,164.0
543.817316939,164.0
546.372776826,163.0
548.933188127,163.0
551.487600901,163.0
554.048283613,163.0
556.608484028,163.0
557.554014594,163.0
559.163872479,163.0
561.724547374,163.0
564.279201606,163.0
566.839635731,163.0
569.3950829,163.0
571.955272907,163.0
574.510353463,163.0
577.070690764,162.0
579.630850912,162.0
582.186317184,162.0
584.7465138,163.0
587.301694838,163.0
589.861943247,163.0
592.417625501,164.0
594.977638699,164.0
597.532790757,164.0
600.092864617,165.0
602.653168598,165.0
605.209050411,165.0
607.768939569,165.0
610.324191231,166.0
612.884180153,167.0
615.439847346,167.0
617.999963764,167.0
620.555113711,168.0
623.115421041,168.0
625.675681981,168.0
628.231289298,169.0
630.791305031,169.0
633.346379672,169.0
635.90685625,170.0
638.461986403,170.0
641.022780928,170.0
643.582573197,170.0
646.137775632,170.0
648.697938438,169.0
651.25332365,169.0
653.813751283,169.0
656.368486725,169.0
658.92912191,169.0
661.484311893,169.0
664.044960969,169.0
666.605132671,169.0
669.159985413,169.0
671.720703572,169.0
674.275660765,170.0
676.836182892,170.0
679.39110446,170.0
681.951306237,169.0
684.506881718,169.0
687.067135193,171.0
689.627487991,171.0
692.182403323,171.0
694.742646949,171.0
697.297909289,171.0
699.858309282,170.0
702.413547527,170.0
704.973745428,170.0
707.529069894,171.0
710.089162052,171.0
712.649498203,171.0
715.205161087,173.0
717.765084498,174.0
720.32050272,174.0
722.880696485,174.0
725.435975017,173.0
727.996095212,173.0
730.551310761,173.0
733.11178097,173.0
735.671987265,173.0
738.227504271,173.0
740.787431167,173.0
743.342770023,173.0
745.903079166,173.0
748.45810629,173.0
751.018692365,173.0
753.578665813,173.0
756.134059318,173.0
758.694305153,172.0
761.249511667,172.0
763.810049331,172.0
766.365136818,172.0
768.925830919,172.0
771.480520614,172.0
774.041075153,172.0
776.601066584,172.0
779.156499784,172.0
781.716660643,172.0
784.271812632,172.0
786.832253203,171.0
789.387467367,171.0
791.947625858,171.0
794.502978462,171.0
797.063284578,171.0
799.623713035,171.0
802.178765722,171.0
804.738995479,171.0
807.294054114,171.0
809.85440769,171.0
812.410090326,171.0
814.969880764,171.0
817.525591322,170.0
820.085487369,170.0
822.64588622,170.0
825.20116055,170.0
827.761273183,170.0
830.316436928,170.0
832.876775484,170.0
835.432031867,170.0
837.992351454,170.0
840.54762424,170.0
843.107910421,170.0
845.667813472,170.0
848.223980535,169.0
