Time,CAN2_TCM_C08_CurrGr_Stat_PT_t4
0.019508092,5.0
0.039503529,5.0
0.05928768,5.0
0.079296602,5.0
0.09946017,5.0
0.119519843,5.0
0.139507905,5.0
0.159289306,5.0
0.179292478,5.0
0.199290151,5.0
0.219506094,5.0
0.239498281,5.0
0.259297558,5.0
0.27929748,5.0
0.299434797,5.0
0.319511346,5.0
0.339506283,5.0
0.359294684,5.0
0.379507753,5.0
0.399297904,5.0
0.419517972,5.0
0.439514519,5.0
0.45929731,5.0
0.479300983,5.0
0.49929953,5.0
0.519510473,5.0
0.539502021,5.0
0.559299422,5.0
0.579301594,5.0
0.599491677,5.0
0.61971012,5.0
0.639698667,5.0
0.659497318,5.0
0.67949074,5.0
0.699293532,5.0
0.719519101,5.0
0.739508898,5.0
0.759306174,5.0
0.779296471,5.0
0.799288907,5.0
0.81951485,5.0
0.839504772,5.0
0.859299047,5.0
0.879296844,5.0
0.899305516,5.0
0.919528474,5.0
0.939509254,5.0
0.959292545,5.0
0.979300217,5.0
0.999298388,5.0
1.019517581,5.0
1.039504002,5.0
1.059301543,5.0
1.079300215,5.0
1.099304387,5.0
1.11972585,5.0
1.139511375,5.0
1.159298792,5.0
1.179293963,5.0
1.199299135,5.0
1.219514327,5.0
1.239738035,5.0
1.259510935,5.0
1.279296836,5.0
1.299437026,5.0
1.319517575,5.0
1.339654391,5.0
1.359327273,5.0
1.379542606,5.0
1.399335257,5.0
1.41973072,5.0
1.439726516,5.0
1.459336771,5.0
1.479340334,5.0
1.49933988,5.0
1.519739468,5.0
1.539516743,5.0
1.559348894,5.0
1.579356707,5.0
1.599345629,5.0
1.619737216,5.0
1.639727637,5.0
1.659511663,5.0
1.679515459,5.0
1.699516506,5.0
1.719741339,5.0
1.739521114,5.0
1.759359516,5.0
1.779365938,5.0
1.799357985,5.0
1.819732339,5.0
1.839512614,5.0
1.859364392,5.0
1.879365314,5.0
1.899368861,5.0
1.919739698,5.0
1.939734745,5.0
1.959370642,5.0
1.979373439,5.0
1.999377111,5.0
2.019744323,5.0
2.039530724,5.0
2.059383392,5.0
2.079375439,5.0
2.099379611,5.0
2.119738073,5.0
2.139726745,5.0
2.159589789,5.0
2.17938994,5.0
2.199397112,5.0
2.219736323,5.0
2.239519474,5.0
2.259608039,5.0
2.27939369,5.0
2.299541257,5.0
2.319743824,5.0
2.339522599,5.0
2.359412144,5.0
2.379625337,5.0
2.399411988,5.0
2.419738574,5.0
2.439743121,5.0
2.459415504,5.0
2.47941755,5.0
2.499423238,5.0
2.519755683,5.0
2.53952921,5.0
2.559423379,5.0
2.57943005,5.0
2.599428113,5.0
2.619745308,5.0
2.639739246,5.0
2.659526647,5.0
2.679534694,5.0
2.699540241,5.0
2.719750309,5.0
2.739534085,5.0
2.759444624,5.0
2.779455537,5.0
2.799461467,5.0
2.819744278,5.0
2.839537422,5.0
2.859458459,5.0
2.879456122,5.0
2.899468162,5.0
2.919750614,5.0
2.939737278,5.0
2.95946842,5.0
2.979477959,5.0
2.999472623,5.0
3.019744074,5.0
3.039524593,5.0
3.059484631,5.0
3.079479919,5.0
3.099488584,5.0
