Time,CAN2_TCM_C03_InShaftSpd_Cval_PT_t9
0.008635242,1184.16
0.018645757,1194.72
0.028636913,1193.92
0.038642695,1186.24
0.048637335,1201.92
0.058635742,1191.3600000000001
0.068628507,1183.3600000000001
0.078641664,1197.92
0.08879945,1189.76
0.098803731,1200.64
0.108800637,1186.72
0.118659009,1193.44
0.128800309,1198.72
0.138644072,1189.76
0.148802857,1204.64
0.158638853,1186.24
0.168810404,1196.64
0.178431645,1208.32
0.188638556,1196.64
0.198636712,1204.0
0.208635478,1177.76
0.21864526,1190.72
0.228631166,1203.52
0.238634432,1191.84
0.248634463,1197.44
0.258642604,1178.24
0.268635385,1193.44
0.278644042,1199.52
0.288636808,1190.72
0.298642964,1207.52
0.30863748,1176.16
0.318652011,1193.44
0.328640542,1200.0
0.338642433,1204.64
0.348636339,1196.64
0.358642731,1184.16
0.368637637,1207.52
0.378646918,1203.52
0.388632684,1196.0
0.398641465,1205.6000000000001
0.408635481,1186.24
0.418652638,1206.72
0.428635168,1194.72
0.438649185,1185.44
0.448636091,1208.64
0.458645357,1183.3600000000001
0.468642013,1196.0
0.478647529,1195.3600000000001
0.488636935,1196.0
0.498647577,1219.2
0.508637232,1174.88
0.518652639,1205.6000000000001
0.528639405,1201.6000000000001
0.538639686,1192.64
0.548630577,1214.24
0.558645983,1188.32
0.568635014,1213.6000000000001
0.578645156,1212.32
0.588637687,1200.64
0.598836723,1216.32
0.60883713,1189.44
0.618840395,1210.72
0.628642656,1208.64
0.638837833,1205.6000000000001
0.648641078,1213.6000000000001
0.658843881,1182.72
0.668642501,1200.64
0.678840302,1216.32
0.688640563,1189.44
0.698641579,1206.72
0.708636985,1189.44
0.718656767,1199.52
0.728641158,1203.52
0.738643564,1199.52
0.748637955,1208.64
0.758651236,1186.24
0.768634891,1196.64
0.778434136,1212.32
0.788637438,1199.52
0.798431058,1215.52
0.80863986,1194.72
0.818652516,1203.52
0.828641531,1208.64
0.838642421,1200.64
0.848644328,1217.1200000000001
0.858642609,1188.32
0.868636874,1207.52
0.878436009,1210.24
0.88863642,1204.0
0.898647577,1215.52
0.908640108,1189.76
0.918666124,1210.72
0.928641529,1205.6000000000001
0.938645419,1196.64
0.948646201,1216.32
0.958645107,1201.6000000000001
0.968644123,1201.92
0.978645279,1206.24
0.988642043,1197.44
0.99864795,1205.6000000000001
1.008642481,1191.3600000000001
1.018652247,1197.92
1.028637386,1213.1200000000001
1.038641667,1194.72
1.048637824,1222.72
1.058645105,1194.72
1.068640871,1212.32
1.078646777,1213.1200000000001
1.088638041,1196.64
1.098647948,1219.2
1.108642854,1194.72
1.118866515,1207.52
1.128645651,1215.2
1.138649041,1191.3600000000001
1.148645447,1201.6000000000001
1.158649837,1194.72
1.168642119,1199.52
1.178642009,1214.24
1.188637164,1191.84
1.198645696,1204.0
1.208639211,1191.3600000000001
1.218653493,1198.72
1.228642633,1208.64
1.239299477,1186.72
1.24864057,1209.6000000000001
