Time,Clutch_Pedal_Travel,Clutch housing Temp,EngTrq_Cval_PT,EngSpd_Cval_PT,HiResAccelPdlPosn_Cval,VehSpd_Cval_PT,InShaft_RPM
124.79,2.555188179,90.09647369,3.200000048,596.3200073,0,0,613.4155273
124.8,2.556179762,90.14266205,2.200000048,597.4400024,0,0,589.1281738
124.81,2.555200577,90.39630127,1,598.4000244,0,0,584.6691284
124.82,2.558778524,90.44995117,-0.400000006,599.3599854,0,0,602.4424438
124.83,2.556925774,90.27676392,0,599.039978,0,0,597.6043091
124.84,2.556630373,90.14076996,1.399999976,597.9199829,0,0,577.6364136
124.85,2.555924654,90.33250427,2.599999905,596.7999878,0,0,600.006958
124.86,2.555473804,90.46298218,4.199999809,596.3200073,0,0,607.3214722
124.87,2.556074381,90.28292847,4.400000095,596.3200073,0,0,575.5718994
124.88,2.555930614,90.16325378,4,596.7999878,0,0,592.8662109
124.89,2.556097269,90.26078033,3.400000095,596.7999878,0,0,607.5571289
124.9,2.55800271,90.41518402,3.799999952,596.6400146,0,0,586.3969116
124.91,2.556786299,90.36000824,4.400000095,596.1599731,0,0,579.3955688
124.92,2.554543734,90.13742065,5.599999905,595.6799927,0,0,604.2195435
124.93,2.554923773,90.10771942,6.199999809,595.3599854,0,0,598.6132202
124.94,2.555085182,90.26473999,6.599999905,595.039978,0,0,574.5889893
124.95,2.554644823,90.32984924,7,594.8800049,0,0,606.8592529
124.96,2.553676844,90.22511292,6,595.6799927,0,0,607.7103271
124.97,2.555517912,90.14607239,4.400000095,596.7999878,0,0,583.3135986
124.98,2.556506872,90.2780304,2.799999952,598.4000244,0,0,597.4976807
124.99,2.556177855,90.40738678,0.600000024,600.1599731,0,0,613.6784668
125,2.556870937,90.31983185,-1.600000024,601.4400024,0,0,594.6643066
125.01,2.554100752,90.17404938,-3.400000095,602.4000244,0,0,587.1259766
125.02,2.555081367,90.07268524,-4.400000095,603.039978,0,0,609.2084961
125.03,2.556135178,90.12320709,-3.599999905,602.5599976,0,0,601.7843018
125.04,2.555841684,90.36846161,-2.400000095,601.5999756,0,0,582.2012329
125.05,2.554780722,90.39879608,-0.600000024,600.3200073,0,0,603.7765503
125.06,2.555617571,90.21000671,0.200000003,599.8400269,0,0,611.3640137
125.07,2.55572772,90.27309418,0,600.1599731,0,0,585.0591431
125.08,2.555677891,90.43843842,-0.400000006,600.3200073,0,0,593.6236572
125.09,2.553326368,90.39833069,-1,600.6400146,0,0,612.6114502
125.1,2.549565077,90.26574707,-1,600.6400146,0,0,589.2391968
125.11,2.550511599,90.14015961,-0.600000024,600.3200073,0,0,586.0998535
125.12,2.550296307,90.10093689,-0.400000006,600.3200073,0,0,605.112854
125.13,2.55111742,90.25185394,0.200000003,599.8400269,0,0,598.9885254
125.14,2.550224304,90.36790466,0.800000012,599.3599854,0,0,582.7730103
125.15,2.550135612,90.1875,2.200000048,598.4000244,0,0,603.9638672
125.16,2.550273657,90.0785675,1.399999976,598.8800049,0,0,608.5249634
125.17,2.548323154,90.29676056,0.600000024,599.6799927,0,0,586.4959106
125.18,2.547501326,90.45361328,-0.800000012,600.6400146,0,0,600.3634033
125.19,2.549870014,90.3915329,-2.400000095,601.5999756,0,0,614.1083374
125.2,2.546850681,90.23995972,-3.599999905,602.5599976,0,0,598.0060425
125.21,2.545242548,90.15478516,-5.400000095,603.8400269,0,0,589.8457642
125.22,2.545853376,90.13600922,-6.599999905,604.6400146,0,0,609.6607666
125.23,2.54610467,90.10427856,-6.400000095,604.3200073,0,0,601.7858276
125.24,2.546212673,90.27791595,-5,603.3599854,0,0,586.5682373
125.25,2.546881676,90.38246155,-4.199999809,602.5599976,0,0,605.4130249
125.26,2.546216011,90.18744659,-3,602.0800171,0,0,607.6644287
125.27,2.542723179,90.14432526,-2.599999905,601.9199829,0,0,586.0838013
125.28,2.543852568,90.21862793,-2.599999905,601.9199829,0,0,596.2001953
125.29,2.544952869,90.30835724,-2.599999905,601.5999756,0,0,609.2231445
125.3,2.543088198,90.34410095,-2,601.1199951,0,0,590.5209351
125.31,2.545175791,90.14984131,-1,600.3200073,0,0,586.3955688
125.32,2.545789719,90.08831024,-0.600000024,600.1599731,0,0,605.8154907
125.33,2.545368671,90.18235779,0.200000003,599.3599854,0,0,597.6460571
125.34,2.545155764,90.27239227,1.399999976,598.5599976,0,0,581.2307129
125.35,2.545139074,90.29696655,2.799999952,597.5999756,0,0,601.6793213
