Time,CAN2_CPC_C10_VehSpd_Cval_PT_t0
0.082842759,0.0
0.132856782,0.0
0.182842179,0.0
0.232858477,0.0
0.282842978,0.0
0.33303178,0.0
0.382847277,0.0
0.432869966,0.0
0.482845873,0.0
0.532847672,0.0
0.582847064,0.0
0.633019069,0.0
0.682853754,0.0
0.732849161,0.0
0.78286346,0.0
0.833065263,0.0
0.882848852,0.0
0.932863963,0.0
0.982844058,0.0
1.03286506,0.0
1.082848248,0.0
1.13286875,0.0
1.182850148,0.0
1.232870584,0.0
1.282852612,0.0
1.333091428,0.0
1.382854655,0.0
1.432872277,0.0
1.482852009,0.0
1.532870741,0.0
1.582856458,0.0
1.633033085,0.0
1.682857406,0.0
1.732866936,0.0
1.782864762,0.0
1.832873181,0.0
1.88284982,0.0
1.932874348,0.0
1.982851377,0.0
2.032874001,0.0
2.082858138,0.0
2.132878856,0.0
2.182859884,0.0
2.232883524,0.0
2.282861944,0.0
2.332894177,0.0
2.382867598,0.0
2.432881628,0.0
2.48285725,0.0
2.532864483,0.0
2.582990516,0.0
2.63287423,0.0
2.682867167,0.0
2.7328679,0.0
2.782891617,0.0
2.83289435,0.0
2.88300768,0.0
2.9328928,0.0
2.982867532,0.0
3.032869359,0.0
3.083004486,0.0
3.13290981,0.0
3.182865538,0.0
3.232888051,0.0
3.282872657,0.0
3.333104972,0.0
3.382868572,0.0
3.432888179,0.0
3.482869285,0.0
3.532872704,0.0
3.582873607,0.0
3.633062124,0.0
3.682881319,0.0
3.732876942,0.0
3.78294594,0.0
3.83289456,0.0
3.882875964,0.0
3.932878772,0.0
3.982874785,0.0
4.032883689,0.0
4.082878904,0.0
4.132905104,0.0
4.182875913,0.0
4.232897532,0.0
4.282975732,0.0
4.333112135,0.0
4.382877639,0.0
4.432899446,0.0
4.482876751,0.0
4.532886871,0.0
4.582882771,0.0
4.632894265,0.0
4.682896775,0.0
4.732887284,0.0
4.783017094,0.0
4.832915102,0.0
4.882886517,0.0
4.932899917,0.0
4.982885817,0.0
5.032887936,0.0
5.082884634,0.0
5.132903237,0.0
5.182888048,0.0
5.232906574,0.0
5.282889208,0.0
5.333134521,0.0
5.382890744,0.0
5.43290777,0.0
5.482888498,0.0
5.532895524,0.0
5.582891736,0.0
5.632904059,0.0
5.682898788,0.0
5.732895908,0.0
5.782889323,0.0
5.832922147,0.0
5.883073879,0.0
5.932909588,0.0
5.982888613,0.0
6.032893233,0.0
6.082894759,0.0
6.132912878,0.0
6.182888885,0.0
6.232925102,0.0
6.28289541,0.0
6.33311921,0.0
6.38289542,0.0
6.432914434,0.0
6.482891743,0.0
6.532903648,0.0
6.582893457,0.0
6.63292347,0.0
6.682904671,0.0
6.732917871,0.0
6.782903993,0.0
6.832943195,0.0
6.883121712,0.0
6.932922111,0.0
6.982896326,0.0
7.03290623,0.0
7.082895242,0.0
7.13293085,0.0
7.18290466,0.0
7.232935973,0.0
7.282911285,0.0
7.333204198,0.0
7.382919097,0.0
7.432929816,0.0
7.482905722,0.0
7.53291994,0.0
7.583038552,0.0
7.632933159,0.0
7.682921064,0.0
7.732924877,0.0
7.782917798,0.0
7.83302741,0.0
7.883266619,0.0
7.932940532,0.0
7.98291725,0.0
8.03293086,0.0
8.083041659,0.0
8.132940875,0.0
8.182917282,0.0
8.232934004,0.0
8.282917708,0.0
8.333067917,0.0
8.382927635,0.0
8.43316905,0.0
8.482919859,0.0
8.532936581,0.0
8.582921489,0.0
8.632944711,0.0
8.68292812,0.0
8.732938731,0.0
8.782926952,0.0
8.833104568,0.0
8.883144369,0.0
8.932940788,0.0
8.9829249,0.0
9.032939808,0.0
9.082927123,0.0
9.132955736,0.0
9.182920548,0.0
9.232943467,0.0
9.282947165,0.0
9.333154072,0.0
9.382950578,0.0
9.433177893,0.0
9.482932101,0.0
9.5329458,0.0
9.582924311,0.0
9.632954714,0.0
9.682931928,0.0
9.73294694,0.0
9.782927935,0.0
9.832989651,0.0
9.883145447,0.0
9.932948548,0.0
9.982929168,0.0
10.032949961,0.0
10.082927378,0.0
10.132944578,0.0
10.182937266,0.0
10.233015948,0.0
10.282936219,0.0
10.332973883,0.0
10.382939953,0.0
10.433238233,0.0
10.482935796,0.0
10.532952867,0.0
10.582933046,0.0
10.632962116,0.0
10.682948389,0.0
10.732954552,0.0
10.782940028,0.0
10.8329826,0.0
10.88295967,0.0
10.932965942,0.0
10.982941512,0.0
11.032957879,0.0
11.082942652,0.0
11.132957926,0.0
11.182942587,0.0
11.232967058,0.0
11.282942512,0.0
11.332986577,0.0
11.382966547,0.0
11.433206913,0.0
11.482942971,0.0
11.532960848,0.0
11.582948099,0.0
11.632971164,0.0
11.682955837,0.0
11.732972197,0.0
11.782948667,0.0
11.833019124,0.0
11.882966889,0.0
11.93296536,0.0
11.982949627,0.0
12.032962581,0.0
12.082946848,0.0
12.132963913,0.0
12.182952483,0.0
12.232977884,0.0
12.282949158,0.0
12.333130484,0.0
12.382968037,0.0
12.43303733,0.0
12.482951618,0.0
12.533015707,0.0
12.583081296,0.0
12.633001678,0.0
12.682964358,0.0
12.73297876,0.0
12.782952846,0.0
12.833112735,0.0
12.883098524,0.0
12.932978406,0.0
12.982952289,0.0
13.032974987,0.0
13.083080171,0.0
13.132976052,0.0
13.182952964,0.0
13.232979092,0.0
13.282962015,0.0
13.333066238,0.0
13.383000472,0.0
13.433070382,0.0
13.482954318,0.0
13.532977945,0.0
13.582956477,0.0
13.633257002,0.0
13.682968918,0.0
13.732984045,0.0
13.782958483,0.0
13.833053597,0.0
13.882965424,0.0
13.933099757,0.0
13.98296138,0.0
14.032984305,0.0
14.082966336,0.0
14.132983854,0.0
14.182967888,0.0
14.233011222,0.0
14.282985947,0.0
14.333160175,0.0
14.383042021,0.0
14.433079012,0.0
14.482962078,0.0
14.532995208,0.0
14.582970448,0.0
14.633073878,0.0
14.682981709,0.0
14.732996731,0.0
14.782971563,0.0
14.833196669,0.0
14.882984029,0.0
14.933105255,0.0
14.982973398,0.0
15.033099923,0.0
15.082974957,0.0
15.133000979,0.0
15.182975606,0.0
15.233010936,0.0
15.282983858,0.0
15.333133394,0.0
15.382993718,0.0
15.433171723,0.0
15.482975172,0.0
15.533002001,0.0
15.58298111,0.0
15.633115848,0.0
15.682988862,0.0
15.7330068,0.0
15.782981721,0.0
15.833025035,0.0
15.882990769,0.0
15.93303649,0.0
15.982993521,0.0
16.033005849,0.0
16.082981365,0.0
16.133009898,0.0
16.182984512,0.0
16.233009,0.0
16.282992706,0.0
16.33313129,0.0
16.383019901,0.0
16.433031747,0.0
16.48298389,0.0
16.533005081,0.0
16.582989286,0.0
16.633146184,0.0
16.682998777,0.0
16.733052469,0.0
16.782989767,0.0
16.833155759,0.0
16.882999773,0.0
16.933121561,0.0
16.983005155,0.0
17.033016455,0.0
17.082989848,0.0
17.133016243,0.0
17.182993042,0.0
17.233029439,0.0
17.283007537,0.0
17.333194139,0.0
17.38300964,0.0
17.433015911,0.0
17.482994539,0.0
17.533022233,0.0
17.583147834,0.0
17.633184231,0.0
17.683008231,0.0
17.733067425,0.0
17.782999631,0.0
17.83323022,0.0
17.883141831,0.0
17.933081288,0.0
17.983013619,0.0
18.033024515,0.0
18.08312632,0.0
18.133211811,0.0
18.183000211,0.0
18.233076185,0.0
18.283011969,0.0
18.33311546,0.0
18.383034133,0.0
18.433029902,0.0
18.483000297,0.0
18.533220681,0.0
18.583004758,0.0
18.633234955,0.0
18.683015219,0.0
18.733083802,0.0
18.783006383,0.0
18.833051466,0.0
18.883024454,0.0
18.933174836,0.0
18.983020321,0.0
19.033033997,0.0
19.083016673,0.0
19.133035865,0.0
19.18300794,0.0
19.233025455,0.0
19.283030156,0.0
19.333108376,0.0
19.38321208,0.0
19.433061654,0.0
19.483026089,0.0
19.533047886,0.0
19.583013212,0.0
19.633259419,0.0
19.683017116,0.0
19.733078928,0.0
19.783012832,0.0
19.833083927,0.0
19.883034049,0.0
19.933106456,0.0
19.983029953,0.0
20.033044468,0.0
20.083012466,0.0
20.133057576,0.0
20.183017684,0.0
20.233229601,0.0
20.283031522,0.0
20.333091637,0.0
20.383057141,0.0
20.433199851,0.0
20.483014976,0.0
20.533076357,0.0
20.583014907,0.0
20.633289715,0.0
20.683032526,0.0
20.733184845,0.0
20.783015658,0.0
20.833233778,0.0
20.883032886,0.0
20.933123205,0.0
20.983030207,0.0
21.033073525,0.0
21.083030638,0.0
21.133097441,0.0
21.183022961,0.0
21.233117877,0.0
21.28303679,0.0
21.333111409,0.0
21.383093527,0.0
21.433163412,0.0
21.483026668,0.0
21.533101772,0.0
21.583025294,0.0
21.633091616,0.0
21.683041436,0.0
21.733195948,0.0
21.78302886,0.0
21.833117979,0.0
21.883041595,0.0
21.933041792,0.0
21.98316874,0.0
22.033120248,0.0
22.08304416,0.0
22.13312228,0.0
22.183036094,0.0
22.233222592,0.0
22.283112691,0.0
22.333237688,0.0
22.383168602,0.0
22.433166095,0.0
22.483036007,0.0
22.533140066,0.0
22.583165106,0.0
22.633353011,0.0
22.683046809,0.0
22.733091819,0.0
22.783039124,0.0
22.833172621,0.0
22.883219428,0.0
22.933225921,0.0
22.983237228,0.0
23.033141734,0.0
23.083312435,0.0
23.133150846,0.0
23.183049546,0.0
23.233156276,0.0
23.283179893,0.0
23.333169994,0.0
23.383083312,0.0
23.43308543,0.0
23.483050156,0.0
23.533173947,0.0
23.583065187,0.0
23.633625817,0.0
23.683121625,1.0
23.733196839,1.0
23.783069358,1.0
23.833065351,1.0
23.883127501,1.0
23.933074101,1.0
23.983140329,1.0
24.033183151,1.0
24.08315847,1.0
24.133193776,1.0
24.183076494,1.0
24.23326099,1.0
24.283291186,1.0
24.333139393,1.0
24.383156574,1.0
24.433066892,1.0
24.483145402,1.0
24.533214975,1.0
24.583186997,1.0
24.633650111,2.0
24.6831842,2.0
24.733247991,2.0
24.783082495,2.0
24.833279399,2.0
24.883182092,2.0
24.933271305,2.0
24.983209703,2.0
25.033216804,2.0
25.083221203,2.0
25.133223601,2.0
25.1830857,2.0
25.233241804,2.0
25.283150464,2.0
25.333248098,2.0
25.383220947,2.0
25.43308217,2.0
25.48308691,2.0
25.533234812,2.0
25.583087908,2.0
25.633442626,3.0
25.683238112,3.0
25.733165694,3.0
25.783266814,3.0
25.83325721,3.0
25.883263826,3.0
25.933266317,3.0
25.98309221,2.0
26.033249501,2.0
26.083090817,2.0
26.133253921,2.0
26.183083813,2.0
26.233168397,2.0
26.283090993,2.0
26.333277001,2.0
26.383100657,2.0
26.433139976,2.0
26.483101604,2.0
26.533283691,2.0
26.583341696,2.0
26.63370899,2.0
26.683566287,2.0
26.733223674,2.0
26.783132691,2.0
26.833095179,2.0
26.883333985,2.0
26.933114344,2.0
26.983157865,2.0
27.033289263,2.0
27.083172967,2.0
27.133305334,2.0
27.183195074,2.0
27.233154965,2.0
27.283178966,2.0
27.333201858,3.0
27.383155764,3.0
27.433113685,3.0
27.483162421,3.0
27.533119124,3.0
27.583584433,3.0
27.633568354,3.0
27.683575965,3.0
27.733239863,3.0
27.783200378,3.0
27.833273959,3.0
27.88359989,3.0
27.933192989,3.0
27.983162302,3.0
28.033161974,3.0
28.083384933,3.0
28.133366527,3.0
28.18317645,3.0
28.23344492,3.0
28.283177643,3.0
28.333399284,3.0
28.383160805,3.0
28.433215645,3.0
28.483157373,3.0
28.533161244,3.0
28.583373213,3.0
28.633369021,3.0
28.683586756,3.0
28.733244868,3.0
28.783188784,3.0
28.83326289,3.0
28.883368841,3.0
28.933176534,3.0
28.983161264,3.0
29.033197244,3.0
29.083382509,3.0
29.133375989,3.0
29.183162446,3.0
29.233321518,3.0
29.28316202,3.0
29.333293262,3.0
29.383164047,3.0
29.433221116,3.0
29.483163823,3.0
29.533183204,3.0
29.583381058,3.0
29.633162762,3.0
29.683596278,3.0
29.733286964,3.0
29.783177217,3.0
29.833509105,3.0
29.883389233,3.0
29.933214547,3.0
29.983184365,3.0
30.033192151,3.0
30.083200501,3.0
30.133189397,3.0
30.183203826,2.0
30.233375013,2.0
30.283399101,2.0
30.333220356,2.0
30.383424652,2.0
30.433226515,3.0
30.483225337,3.0
30.533199628,3.0
30.583234075,2.0
30.633211085,2.0
30.683616416,2.0
30.733153993,2.0
30.783468651,2.0
30.83348102,2.0
30.883454685,2.0
30.933261002,2.0
30.983255324,2.0
31.033239615,2.0
31.083263062,2.0
31.133234258,2.0
31.183260483,2.0
31.23314295,2.0
31.283417958,2.0
31.333242487,2.0
31.383426977,2.0
31.433276834,2.0
31.483290335,2.0
31.533267726,2.0
31.583295963,2.0
31.633459374,2.0
31.68361788,2.0
31.733296154,2.0
31.783526005,2.0
31.833319189,2.0
31.883518319,2.0
31.93313203,2.0
31.98332413,2.0
32.033309318,2.0
32.083323054,2.0
32.133259257,2.0
32.183374277,2.0
32.233530563,2.0
32.283433156,2.0
32.333531254,2.0
32.383453973,2.0
32.433148186,2.0
32.483349536,2.0
32.533286224,2.0
32.583590968,2.0
32.63330026,3.0
32.683666786,3.0
32.733173651,3.0
32.783588193,3.0
32.833518662,3.0
32.883798219,3.0
32.933129876,3.0
32.983368445,3.0
33.03329693,3.0
33.083601658,3.0
33.133139055,3.0
33.183386482,3.0
33.233460949,3.0
33.283501728,3.0
33.333832857,3.0
33.383543066,3.0
33.433234555,4.0
33.483408806,4.0
33.533334098,4.0
33.583429128,4.0
33.633331028,4.0
33.683745832,4.0
33.733321303,4.0
33.783645651,4.0
33.833449534,4.0
33.883674864,5.0
33.933222662,5.0
